Degree,Iteration,Implicit Time,No Vector Time,Intrinsic Time,Imntrinsic load time
8,2,2.90253,0.00467494,0.00348105,0.00350802
8,4,0.00428603,0.00269005,0.00326602,0.003746
8,8,0.00433406,0.00387701,0.00362504,0.00359
8,16,0.00474402,0.027507,0.003154,0.00402401
8,32,0.0144301,0.018191,0.00560597,0.00467194
8,64,0.00702498,0.00596399,0.006444,0.00654903
8,128,0.00797704,0.017326,0.00785202,0.00824903
8,256,0.00953101,0.0246271,0.00956499,0.00998303
8,512,0.015481,0.02531,0.00984206,0.00955601
8,1024,0.0351189,0.0101339,0.011416,0.011289
8,2048,0.028889,0.011482,0.015223,0.025285
8,4096,0.0355,0.0137371,0.015339,0.016657
8,8192,0.055277,0.018111,0.018981,0.023449
8,16384,0.133712,0.031021,0.025879,0.035691
8,32768,0.236709,0.043015,0.045406,0.061901
8,65536,0.424044,0.075977,0.0807591,0.110591
8,131072,0.829892,0.14007,0.145405,0.214736
8,262144,1.70737,0.274912,0.287704,0.417011
8,524288,3.33466,0.530129,0.555271,0.819236
16,2,0.013128,0.018735,0.00325297,0.00402502
16,4,0.00364206,0.00357094,0.00393803,0.00336099
16,8,0.00433403,0.00443499,0.00295899,0.00366695
16,16,0.012923,0.017158,0.00512995,0.00405
16,32,0.0145341,0.018137,0.00657206,0.00650097
16,64,0.00714397,0.016164,0.00746597,0.00619795
16,128,0.00879504,0.01681,0.00807501,0.00696195
16,256,0.011518,0.0235159,0.01002,0.010584
16,512,0.01738,0.0297341,0.013611,0.012914
16,1024,0.036041,0.019967,0.020604,0.020565
16,2048,0.0313259,0.033966,0.038552,0.035179
16,4096,0.052081,0.060621,0.0632,0.0642281
16,8192,0.113891,0.115509,0.123954,0.121133
16,16384,0.227917,0.22324,0.236414,0.238598
16,32768,0.45864,0.437644,0.464388,0.467842
16,65536,0.945433,0.871124,0.923053,0.928704
16,131072,1.85812,1.65593,1.81997,1.85513
16,262144,3.71025,3.33789,3.69172,3.72989
16,524288,7.33343,6.51111,7.31012,7.38514
32,2,0.013066,0.016508,0.00344297,0.003576
32,4,0.00428405,0.00394998,0.00379396,0.00368194
32,8,0.00509204,0.00509002,0.00392102,0.00391296
32,16,0.00455099,0.00538201,0.00478603,0.00470101
32,32,0.014274,0.0189499,0.00625496,0.00515096
32,64,0.007731,0.00622399,0.00706605,0.00679805
32,128,0.008145,0.0179219,0.00685505,0.00768404
32,256,0.015489,0.023612,0.00795602,0.00914198
32,512,0.01675,0.025151,0.010835,0.010324
32,1024,0.035372,0.011859,0.013236,0.012164
32,2048,0.029512,0.017205,0.0210309,0.017207
32,4096,0.041575,0.02492,0.025765,0.0249331
32,8192,0.0600179,0.040731,0.04274,0.043466
32,16384,0.093355,0.071164,0.075376,0.076122
32,32768,0.158785,0.135696,0.144482,0.149831
32,65536,0.294325,0.262147,0.278921,0.27749
32,131072,0.551224,0.508721,0.550277,0.542266
32,262144,1.1033,0.989139,1.11826,1.07564
32,524288,2.15476,1.91533,2.20338,2.16362
64,2,0.00399502,0.003989,0.00396099,0.003536
64,4,0.00379201,0.018896,0.00358094,0.00369694
64,8,0.00442796,0.0124591,0.00395001,0.00501398
64,16,0.00509198,0.00566998,0.00453198,0.00541298
64,32,0.014562,0.011068,0.00663905,0.005825
64,64,0.0144549,0.0188591,0.0217799,0.00770901
64,128,0.00852497,0.016712,0.00745002,0.00783398
64,256,0.010978,0.015074,0.00950495,0.00957705
64,512,0.0353331,0.01146,0.011166,0.011636
64,1024,0.044946,0.015215,0.015759,0.01593
64,2048,0.0393569,0.023583,0.027821,0.023384
64,4096,0.056737,0.039085,0.039675,0.03999
64,8192,0.08481,0.069618,0.071758,0.072456
64,16384,0.143634,0.131731,0.136503,0.140029
64,32768,0.263362,0.254274,0.26322,0.263071
64,65536,0.493812,0.509328,0.530634,0.518133
64,131072,0.977224,0.992108,1.07058,1.04162
64,262144,1.93781,1.92523,2.05444,2.03546
64,524288,3.80273,3.80913,4.14078,4.06131
128,2,0.00416203,0.00357695,0.00456596,0.00502502
128,4,0.015916,0.0109231,0.00474395,0.00371501
