Degree,Iteration,Implicit Time,No Vector Time,Intrinsic Time,Imntrinsic load time
8,2,75.3524,60.8695,51.6634,14.434
8,4,0.212155,0.206002,0.209777,0.217257
8,8,0.229147,0.208117,0.21072,0.208917
8,16,0.236698,0.209117,0.212352,0.214578
8,32,0.211815,0.216158,0.212894,0.21274
8,64,0.219258,0.214258,0.21989,0.213927
8,128,0.230278,0.222406,0.22186,0.223748
8,256,0.245684,0.229755,0.23651,0.229375
8,512,0.241518,0.236957,0.255614,0.241556
8,1024,0.258835,0.248562,0.266632,0.253396
8,2048,0.278325,0.257636,0.25618,0.265836
8,4096,0.275187,0.26245,1.32253,0.266925
8,8192,0.288289,0.261328,0.274932,0.270133
8,16384,0.30179,0.277423,0.283292,0.28097
8,32768,0.317924,0.28285,0.308159,0.289303
8,65536,0.368917,0.286515,0.325272,0.299358
8,131072,0.446379,0.357509,0.442119,0.461607
8,262144,1.02542,0.457018,0.502206,0.511646
8,524288,1.76672,0.561793,0.53828,0.623594
16,2,0.248884,0.238799,0.249362,0.250931
16,4,0.253972,0.249281,0.238989,0.244115
16,8,0.217088,0.243123,0.23928,0.245205
16,16,0.248061,0.250017,0.242933,0.21944
16,32,0.225626,0.248042,0.234591,0.243339
16,64,0.217125,0.214659,0.259521,0.214833
16,128,0.250957,0.255107,0.226534,0.248447
16,256,0.259353,0.255928,0.256616,0.255601
16,512,0.313614,0.262259,0.283169,0.28776
16,1024,0.165289,0.14563,0.151774,0.150274
16,2048,0.192576,0.150772,0.154769,0.150935
16,4096,0.183074,0.159329,0.166436,0.161015
16,8192,0.199365,0.172242,0.174769,0.171407
16,16384,0.232203,0.197269,0.206008,0.206211
16,32768,0.270896,0.264213,0.277457,0.272061
16,65536,0.360438,0.355121,0.365031,0.369466
16,131072,0.647969,0.628864,0.656336,0.669845
16,262144,1.18576,1.1737,1.2304,1.24671
16,524288,2.37156,2.14892,2.74351,4.48349
32,2,0.236536,0.215635,0.222315,0.225094
32,4,0.239009,0.220814,0.220229,0.219971
32,8,0.228301,0.218871,0.210738,0.211242
32,16,0.214031,0.211266,0.212809,0.211805
32,32,0.213377,0.213893,0.214335,0.212989
32,64,0.219737,0.215726,0.224214,0.217508
32,128,0.223021,0.224213,0.233313,0.226765
32,256,0.259289,0.236217,0.245402,0.247563
32,512,0.254687,0.241789,0.242466,0.248449
32,1024,0.272431,0.249251,0.251091,0.251918
32,2048,0.289206,0.257605,0.25677,0.264095
32,4096,0.287699,0.262163,0.266662,0.269347
32,8192,0.283764,0.274513,0.273573,0.281529
32,16384,0.306102,0.281324,0.285126,0.289172
32,32768,0.335373,0.286584,0.325555,0.301841
32,65536,0.15473,0.107559,0.110588,0.11188
32,131072,0.181927,0.142821,0.152284,0.159318
32,262144,0.262869,0.213602,0.226758,0.231399
32,524288,0.40651,0.347436,0.422088,0.379247
64,2,0.022432,0.02624,0.0166589,0.01808
64,4,0.012897,0.019928,0.01842,0.011895
64,8,0.014028,0.024247,0.01488,0.013573
64,16,0.024412,0.013876,0.013487,0.0126451
64,32,0.0274291,0.02732,0.013407,0.026669
64,64,0.0146961,0.027939,0.015551,0.014874
64,128,0.023106,0.039138,0.023413,0.023447
64,256,0.040699,0.045753,0.033876,0.03298
64,512,0.0737279,0.0473191,0.038748,0.041504
64,1024,0.084558,0.048364,0.050686,0.0532381
64,2048,0.0811859,0.050042,0.057976,0.058133
64,4096,0.095416,0.0605,0.063844,0.068278
64,8192,0.108086,0.072168,0.072836,0.076259
64,16384,0.115124,0.086299,0.082875,0.085562
64,32768,0.143297,0.098709,0.102252,0.102781
64,65536,0.186236,0.129777,0.140602,0.143508
64,131072,0.238019,0.20094,0.216221,0.209114
64,262144,0.38027,0.327551,0.399918,0.348625
64,524288,0.623999,0.589653,0.62961,0.616447
128,2,0.011295,0.030438,0.0140861,0.016499
128,4,0.028511,0.017202,0.014017,0.0157859
128,8,0.011196,0.019222,0.012887,0.012583
128,16,0.015538,0.022088,0.0115509,0.0121791
128,32,0.023238,0.021889,0.013585,0.011915
128,64,0.026916,0.030721,0.014359,0.015356
128,128,0.020748,0.034027,0.022115,0.020178
128,256,0.047651,0.03642,0.032248,0.032788
128,512,0.063326,0.038456,0.040691,0.043573
128,1024,0.0737,0.04541,0.050725,0.048978
128,2048,0.097341,0.0560189,0.059873,0.055358
128,4096,0.09473,0.059693,0.067545,0.0636211
128,8192,0.128146,0.069262,0.080311,0.074621
128,16384,0.139586,0.088342,0.095761,0.095971
128,32768,0.152634,0.124255,0.127544,0.126753
128,65536,0.217563,0.193522,0.203093,0.20193
128,131072,0.346928,0.327169,0.337785,0.340406
128,262144,0.587154,0.594838,0.64978,0.607953
128,524288,1.0623,1.11958,1.20596,1.15584
256,2,0.0162941,0.02606,0.0236601,0.014806
256,4,0.014173,0.022472,0.017066,0.0165581
256,8,0.015389,0.022425,0.013245,0.0155861
256,16,0.025191,0.020461,0.013343,0.010867
256,32,0.021486,0.0121861,0.011708,0.012341
256,64,0.016278,0.0458491,0.014389,0.013996
