Degree,Iteration,Implicit Time,No Vector Time,Intrinsic Time,Imntrinsic load time
512,1024,0.071096,0.151163,0.157698,0.156449
512,2048,0.178098,0.290468,0.245278,0.103876
512,4096,0.630776,0.604342,0.301563,0.259731
512,8192,0.743236,0.270736,0.304434,0.27943
512,16384,0.741005,0.539138,0.620008,0.538158
512,32768,1.49942,1.05056,1.19734,1.08193
512,65536,2.27906,2.25094,2.62753,2.44999
512,131072,4.30487,5.9815,5.31736,5.34177
512,262144,8.53142,7.62403,9.27476,8.45027
512,524288,15.7008,15.0532,18.5126,16.8941
1024,2,0.014858,0.016352,0.00620101,0.00955302
1024,4,0.027673,0.019016,0.00650704,0.007065
1024,8,0.016788,0.01983,0.00871403,0.00900096
1024,16,0.0131021,0.018079,0.010958,0.010419
1024,32,0.018851,0.00925003,0.00873902,0.00901095
1024,64,0.043104,0.022267,0.021641,0.025239
1024,128,0.04475,0.029454,0.033847,0.0367469
1024,256,0.08551,0.06931,0.082931,0.0673879
1024,512,0.119255,0.10306,0.1185,0.130913
1024,1024,0.225848,0.125382,0.081917,0.0753119
1024,2048,0.478537,0.395644,0.512744,0.433124
1024,4096,0.867531,0.308852,0.371099,0.274321
1024,8192,0.617576,0.834323,0.613376,0.538529
1024,16384,1.52498,3.14314,1.19017,1.073
1024,32768,6.20835,1.95503,2.34458,2.13023
1024,65536,10.9963,3.81685,4.64215,4.25731
1024,131072,7.54334,7.56333,9.21785,8.44372
1024,262144,27.4035,15.0683,18.3153,16.805
1024,524288,29.9814,29.9908,36.6308,33.5971
2048,2,0.014849,0.0154369,0.0103531,0.00742905
2048,4,0.020314,0.0176419,0.00952404,0.016636
2048,8,0.020094,0.00845198,0.00775401,0.006573
2048,16,0.0203869,0.023261,0.011823,0.00980499
2048,32,0.030439,0.013645,0.0115389,0.010758
2048,64,0.053138,0.030139,0.024994,0.0261749
2048,128,0.050443,0.030208,0.026319,0.02375
2048,256,0.107061,0.0952891,0.04599,0.040288
2048,512,0.213569,0.189493,0.203573,0.186241
2048,1024,0.438864,0.367025,0.380175,0.139294
2048,2048,0.839166,0.263296,0.296562,0.273705
2048,4096,1.34778,0.604338,0.61108,0.519398
2048,8192,2.86893,1.00766,1.18746,1.04653
2048,16384,4.29579,1.955,2.34545,2.08672
2048,32768,3.89944,3.81255,4.62047,4.15301
2048,65536,7.87206,7.49806,9.1186,8.24551
2048,131072,14.8,14.8553,18.6842,16.6639
2048,262144,29.6717,29.7039,36.9756,33.2706
2048,524288,59.3105,59.3314,73.1788,65.7231
4096,2,0.047599,0.00936798,0.01298,0.0171441
4096,4,0.0467759,0.00725497,0.01162,0.00759701
4096,8,0.038921,0.00787795,0.00878398,0.007936
4096,16,0.045268,0.022265,0.012398,0.010573
4096,32,0.057457,0.026325,0.017327,0.015315
4096,64,0.0723739,0.0530901,0.034577,0.035482
4096,128,0.108871,0.069462,0.055507,0.0417981
4096,256,0.094208,0.074821,0.0936221,0.074478
4096,512,0.339859,0.307734,0.2493,0.142979
4096,1024,0.637081,0.410251,0.296605,0.292209
4096,2048,0.675189,0.524997,0.590048,0.554432
4096,4096,0.963645,1.07117,1.21579,1.0857
4096,8192,1.9833,1.97868,2.36842,2.14389
4096,16384,7.1464,3.83324,4.72297,4.18416
4096,32768,7.62451,7.57597,9.2972,8.40158
4096,65536,14.8533,15.0598,18.6022,16.7933
4096,131072,29.6481,30.0629,37.0528,33.5747
4096,262144,59.1934,60.0535,74.1344,67.3094
4096,524288,118.3,119.952,148.238,135.259
8192,2,0.0655299,0.0195071,0.013545,0.00876703
8192,4,0.042058,0.013775,0.011356,0.010251
8192,8,0.057036,0.0145411,0.013628,0.00973499
8192,16,0.0507579,0.015086,0.0165439,0.01543
8192,32,0.057666,0.023936,0.027746,0.025403
8192,64,0.068295,0.042149,0.048135,0.043806
8192,128,0.165178,0.07742,0.090675,0.079999
8192,256,0.231372,0.145951,0.173429,0.152689
8192,512,0.312552,0.283967,0.335951,0.295702
8192,1024,0.587695,0.562409,0.695275,0.582104
8192,2048,1.1322,1.08226,1.34375,1.15973
8192,4096,2.29182,2.07658,2.66339,2.29727
8192,8192,4.91208,4.08786,5.26189,4.60393
8192,16384,8.77217,8.11468,10.485,9.18754
8192,32768,17.5104,16.0722,20.9118,18.3706
8192,65536,34.7047,31.9393,41.623,36.7072
8192,131072,69.4881,63.8382,83.5053,73.6016
8192,262144,139.508,127.371,166.394,146.982
8192,524288,278.756,254.5,331.045,295.171
16384,2,0.069661,0.0267159,0.0316649,0.0142689
16384,4,0.057042,0.013638,0.0157321,0.013792
16384,8,0.053763,0.014785,0.016801,0.01463
16384,16,0.057287,0.022673,0.027031,0.024467
16384,32,0.078306,0.040798,0.048186,0.04218
16384,64,0.114673,0.075422,0.089927,0.079306
16384,128,0.181645,0.145046,0.171699,0.155256
16384,256,0.313538,0.297202,0.333946,0.301668
16384,512,0.587721,0.550767,0.66983,0.575092
16384,1024,1.14291,1.0953,1.31859,1.14661
16384,2048,2.21621,2.04727,2.60162,2.25886
16384,4096,4.37723,4.00652,5.13968,4.51252
16384,8192,8.68219,7.96788,10.2299,9.00362
16384,16384,17.3308,15.762,20.4327,17.9883
16384,32768,34.6172,31.4819,40.4013,35.6724
16384,65536,68.8718,62.7968,81.2137,71.7035
16384,131072,136.808,125.431,161.283,142.409
16384,262144,273.14,248.866,317.57,281.86
16384,524288,546.527,497.662,644.031,568.465
32768,2,0.08017,0.033712,0.039739,0.027521
32768,4,0.075454,0.030899,0.027424,0.022914
32768,8,0.067371,0.024211,0.032928,0.025325
32768,16,0.0920101,0.040968,0.047745,0.041608
32768,32,0.121665,0.076137,0.089972,0.078786
32768,64,0.186999,0.145202,0.171333,0.150056
32768,128,0.317441,0.286997,0.336248,0.302753
32768,256,0.603192,0.559665,0.672773,0.576083
32768,512,1.14947,1.09948,1.32532,1.153
32768,1024,2.22249,2.11947,2.61456,2.27869
32768,2048,4.37016,4.03125,5.11876,4.48747
32768,4096,8.62927,7.93317,10.1127,8.86696
32768,8192,17.2097,15.7588,20.2138,17.7198
32768,16384,34.1716,31.3399,40.5147,36.0019
32768,32768,68.5336,62.8891,81.0263,71.4542
