Degree,Iteration,Implicit Time,No Vector Time,Intrinsic Time,Imntrinsic load time
8,2,2.29945,0.00229202,0.00109406,0.000818038
8,4,0.00295703,0.000700025,0.000649018,0.000577052
8,8,0.00121603,0.000460976,0.000641026,0.000524
8,16,0.00118606,0.000462942,0.000648032,0.000520964
8,32,0.001735,0.00051195,0.000745041,0.000612957
8,64,0.00266602,0.000640052,0.000783015,0.00077204
8,128,0.002364,0.000884941,0.00107695,0.001155
8,256,0.00368105,0.00135499,0.00158901,0.00194499
8,512,0.00634303,0.00234906,0.00261604,0.003513
8,1024,0.016188,0.00427,0.00465097,0.00655098
8,2048,0.053499,0.00806399,0.00872006,0.012697
8,4096,0.07851,0.015924,0.016599,0.0245229
8,8192,0.08704,0.031696,0.032576,0.049227
8,16384,0.177768,0.06244,0.065165,0.097868
8,32768,0.378683,0.12441,0.129871,0.19211
8,65536,0.689543,0.246743,0.25622,0.388227
8,131072,1.41635,0.490341,0.521523,0.769835
8,262144,2.81746,0.994772,1.02732,1.53407
8,524288,5.61934,1.94928,2.04606,3.05233
16,2,0.00146204,0.000424945,0.000639947,0.000597035
16,4,0.001084,0.000430953,0.000565951,0.000487022
16,8,0.00110801,0.000446984,0.000592042,0.000510027
16,16,0.00126194,0.000533028,0.000677989,0.000560955
16,32,0.00244696,0.000600022,0.000849976,0.000753988
16,64,0.01329,0.000857949,0.00106606,0.000990053
16,128,0.00338996,0.00130598,0.00172602,0.00160598
16,256,0.00549202,0.002259,0.002981,0.00276201
16,512,0.01093,0.00417404,0.00550496,0.00518097
16,1024,0.048423,0.00797402,0.010261,0.00986996
16,2048,0.074445,0.015505,0.019906,0.019403
16,4096,0.111519,0.035393,0.039861,0.038283
16,8192,0.192495,0.060437,0.0791581,0.076034
16,16384,0.35302,0.120424,0.15781,0.154554
16,32768,0.642412,0.240281,0.317776,0.303093
16,65536,1.32245,0.479984,0.631986,0.642931
16,131072,2.60372,0.964899,1.26879,1.21068
16,262144,5.01633,1.9154,2.48204,2.40217
16,524288,10.081,3.77377,4.9434,4.74263
32,2,0.00101998,0.000435057,0.000611,0.000439058
32,4,0.00114603,0.000470983,0.000587958,0.00047903
32,8,0.00149,0.000503036,0.00108805,0.000781954
32,16,0.00230895,0.000615942,0.00146606,0.00113603
32,32,0.00176201,0.000819046,0.00359696,0.00100405
32,64,0.002633,0.00127904,0.00162404,0.00154499
32,128,0.00421205,0.00225502,0.00271201,0.00268094
32,256,0.035,0.00410299,0.00478004,0.00496696
32,512,0.042771,0.00790298,0.00862002,0.00963996
32,1024,0.027719,0.015233,0.017568,0.0187879
32,2048,0.054434,0.030083,0.034568,0.037157
32,4096,0.108014,0.059579,0.0684971,0.0735141
32,8192,0.215277,0.119164,0.13926,0.146476
32,16384,0.429603,0.241798,0.278906,0.294997
32,32768,0.861474,0.475098,0.54349,0.591837
32,65536,1.75538,0.953675,1.11394,1.17875
32,131072,3.47264,1.88399,2.21623,2.34125
32,262144,6.95301,3.75294,4.37345,4.69211
32,524288,13.7501,7.42865,8.7814,9.42677
64,2,0.00107694,0.000479008,0.000626946,0.00049104
64,4,0.00124396,0.00055203,0.000683054,0.000550955
64,8,0.001321,0.000622049,0.000842042,0.000622045
64,16,0.00260902,0.000844974,0.002559,0.00208096
64,32,0.00422894,0.00130595,0.00445402,0.00376903
64,64,0.007495,0.011381,0.00833701,0.015195
64,128,0.00622396,0.00404006,0.00484094,0.00457494
64,256,0.011613,0.00780699,0.00893504,0.00872606
64,512,0.02226,0.0151399,0.017374,0.017016
64,1024,0.0794429,0.02996,0.033775,0.033806
64,2048,0.114859,0.059402,0.067533,0.06708
64,4096,0.203347,0.117965,0.134433,0.133706
64,8192,0.342175,0.23539,0.265351,0.266931
64,16384,0.683367,0.476847,0.537483,0.533356
64,32768,1.36257,0.955861,1.09391,1.06792
64,65536,2.72007,1.86112,2.16573,2.12843
64,131072,5.45402,3.72202,4.31449,4.26932
64,262144,10.9131,7.37714,8.59299,8.53914
64,524288,21.7818,14.7586,17.1571,17.0755
128,2,0.00118003,0.000526005,0.000670032,0.000570022
128,4,0.00129204,0.00063397,0.000814024,0.000687993
128,8,0.00149101,0.000836023,0.00106598,0.000897954
128,16,0.013287,0.001253,0.00166706,0.00137996
128,32,0.01703,0.00214696,0.00264105,0.00231797
128,64,0.00505796,0.00404296,0.00470597,0.00441096
128,128,0.00913203,0.007801,0.00891201,0.00846106
128,256,0.017244,0.015134,0.017338,0.016056
128,512,0.033542,0.029785,0.03392,0.031824
128,1024,0.06609,0.059075,0.067295,0.064657
128,2048,0.131215,0.117642,0.134072,0.129499
128,4096,0.261456,0.23798,0.267914,0.251079
128,8192,0.521739,0.474991,0.538368,0.501334
128,16384,1.04567,0.943644,1.09066,1.00268
128,32768,2.08818,1.88404,2.16114,2.00366
128,65536,4.17779,3.7118,4.31122,4.03995
128,131072,8.37668,7.35992,8.58841,8.04086
