Degree,Iteration,Implicit Time,No Vector Time,Intrinsic Time,Imntrinsic load time
512,8,0.011997,0.016464,0.010705,0.01123
512,16,0.017451,0.0209211,0.011775,0.019381
512,32,0.013167,0.021165,0.012561,0.013253
512,64,0.014828,0.023603,0.015158,0.015828
512,128,0.026522,0.032342,0.0316599,0.031721
512,256,0.0469901,0.0451559,0.033751,0.0326149
512,512,0.066319,0.044415,0.043545,0.0440529
512,1024,0.077218,0.049008,0.052065,0.055477
512,2048,0.063946,0.059175,0.060447,0.063818
512,4096,0.116894,0.0781391,0.085166,0.083718
512,8192,0.154757,0.114579,0.115537,0.118962
512,16384,0.199678,0.171406,0.176432,0.17576
512,32768,0.324334,0.288186,0.307035,0.299521
512,65536,0.52228,0.527277,0.571981,0.544543
512,131072,0.934087,0.99827,1.05859,1.02369
512,262144,1.7667,1.80953,2.01764,1.99036
1024,2,0.017289,0.0214431,0.017842,0.015789
1024,4,0.011534,0.029083,0.00989301,0.019527
1024,8,0.013147,0.024592,0.01107,0.010742
1024,16,0.018517,0.026593,0.01122,0.033879
1024,32,0.013103,0.021315,0.014125,0.012062
1024,64,0.023396,0.036357,0.015006,0.0147441
1024,128,0.040474,0.027821,0.030821,0.02097
1024,256,0.048714,0.041382,0.038245,0.0374961
1024,512,0.06999,0.0426281,0.04502,0.046804
1024,1024,0.103176,0.07258,0.087695,0.057536
1024,2048,0.152866,0.120593,0.104594,0.06979
1024,4096,0.278078,0.240845,0.222948,0.257202
1024,8192,0.186358,0.391552,0.206933,0.168682
1024,16384,0.296851,0.28116,0.283974,0.291578
1024,32768,0.843384,0.506198,0.516354,0.528013
1024,65536,1.75389,1.44023,1.03473,0.999375
1024,131072,4.79903,2.68773,1.96948,1.94083
1024,262144,3.37607,3.42177,3.86611,3.8411
2048,2,0.016561,0.031139,0.0145701,0.017257
2048,4,0.013123,0.018669,0.011461,0.017246
2048,8,0.021401,0.025942,0.011253,0.017472
2048,16,0.014292,0.021014,0.012568,0.012308
2048,32,0.0307911,0.028634,0.013489,0.012834
2048,64,0.023396,0.038718,0.01642,0.0162321
2048,128,0.0253301,0.029764,0.02274,0.022103
2048,256,0.051738,0.044051,0.036482,0.031549
2048,512,0.085675,0.062359,0.059475,0.05513
2048,1024,0.14266,0.058427,0.0598439,0.062067
2048,2048,0.211117,0.088288,0.0910081,0.093298
2048,4096,0.176978,0.148218,0.150792,0.155267
2048,8192,0.768453,0.263047,0.272305,0.269177
2048,16384,0.667124,0.493141,0.505275,0.516979
2048,32768,1.08072,0.969617,1.02222,0.989094
2048,65536,2.70225,1.76834,1.96853,1.94378
2048,131072,4.76647,3.32402,3.84455,3.84835
2048,262144,6.71086,6.70097,7.60972,7.64827
4096,2,0.034001,0.0304401,0.031705,0.020042
4096,4,0.0257479,0.027403,0.01321,0.016041
4096,8,0.02963,0.0324681,0.012441,0.01229
4096,16,0.0275379,0.024291,0.013057,0.017835
4096,32,0.020436,0.04049,0.017439,0.025563
4096,64,0.035056,0.028839,0.0204381,0.014589
4096,128,0.063721,0.0282099,0.025505,0.024275
4096,256,0.0675659,0.03226,0.03351,0.032027
4096,512,0.128663,0.103644,0.070822,0.060473
4096,1024,0.107103,0.078725,0.082226,0.083256
4096,2048,0.169447,0.142006,0.148977,0.142139
4096,4096,0.277438,0.262723,0.271636,0.272698
4096,8192,1.07864,0.498272,0.511777,0.519978
4096,16384,1.07878,0.976187,1.04003,1.00528
4096,32768,1.7439,1.79245,2.01977,1.97457
4096,65536,3.49085,3.46395,3.96061,3.91588
4096,131072,6.74039,6.81108,7.84245,7.79603
4096,262144,13.4221,13.5707,15.6249,15.5728
8192,2,0.035895,0.029521,0.012262,0.0176591
8192,4,0.028712,0.034375,0.012607,0.01871
8192,8,0.038779,0.0262,0.036145,0.011982
8192,16,0.037973,0.027875,0.013068,0.017032
8192,32,0.040398,0.018062,0.0148201,0.014821
8192,64,0.06925,0.0182701,0.019028,0.019046
8192,128,0.073259,0.026773,0.0281601,0.027367
8192,256,0.10775,0.060326,0.046075,0.044935
8192,512,0.11853,0.074966,0.078324,0.076543
8192,1024,0.190686,0.134872,0.142881,0.138429
8192,2048,0.299299,0.258461,0.27149,0.269245
8192,4096,0.545087,0.503236,0.528408,0.522219
8192,8192,1.02858,0.951869,1.07452,1.01367
