Degree,Iteration,Implicit Time,No Vector Time,Intrinsic Time,Imntrinsic load time
8,2,20.773,0.007236,0.00624795,0.00623796
8,4,0.025209,0.016904,0.00712295,0.00669495
8,8,0.00768194,0.00765596,0.00688699,0.00766205
8,16,0.00886098,0.00761905,0.00929496,0.007418
8,32,0.029713,0.020019,0.00912205,0.010809
8,64,0.0206709,0.025068,0.011494,0.017183
8,128,0.03056,0.022591,0.018425,0.019361
8,256,0.033932,0.027914,0.023741,0.026993
8,512,0.054223,0.0401559,0.03003,0.028576
8,1024,0.060908,0.034805,0.0385729,0.0335421
8,2048,0.054254,0.038807,0.0393859,0.041078
8,4096,0.057258,0.039618,0.044026,0.046121
8,8192,0.066896,0.04619,0.052503,0.049576
8,16384,0.082291,0.048628,0.053141,0.050652
8,32768,0.124332,0.055304,0.058593,0.058357
8,65536,0.207702,0.0648581,0.06942,0.0763549
8,131072,0.368218,0.0791549,0.0868021,0.0975131
8,262144,0.726805,0.110727,0.119623,0.146133
8,524288,1.3974,0.168678,0.184766,0.239837
16,2,0.00702103,0.00702604,0.00743898,0.00669401
16,4,0.022088,0.00715895,0.00777899,0.00741698
16,8,0.020574,0.015253,0.00816296,0.00725104
16,16,0.008374,0.019586,0.00829303,0.00910602
16,32,0.00929002,0.018012,0.00970504,0.00901302
16,64,0.031675,0.023583,0.012277,0.0138311
16,128,0.035879,0.029338,0.0180909,0.0182259
16,256,0.041439,0.032521,0.023789,0.023887
16,512,0.042772,0.032314,0.0298529,0.027682
16,1024,0.043065,0.034654,0.035232,0.032084
16,2048,0.042466,0.040253,0.04055,0.036867
16,4096,0.076822,0.042786,0.0492,0.044554
16,8192,0.0833019,0.06369,0.064847,0.068048
16,16384,0.127231,0.095122,0.110072,0.101756
16,32768,0.183706,0.165615,0.176898,0.183531
16,65536,0.320332,0.310604,0.329511,0.32962
16,131072,0.625636,0.588357,0.641247,0.631822
16,262144,1.22938,1.141,1.23573,1.26078
16,524288,2.48527,2.21283,2.45261,2.4884
