Degree,Iteration,Implicit Time,No Vector Time,Intrinsic Time,Imntrinsic load time
8,2,32.3065,27.961,23.6629,17.4971
8,4,0.0110959,0.019402,0.01146,0.010959
8,8,0.024729,0.0335901,0.010948,0.010737
8,16,0.026903,0.0267679,0.0127521,0.012695
8,32,0.013212,0.028476,0.012407,0.012369
8,64,0.0149511,0.020588,0.015172,0.014825
8,128,0.031072,0.029445,0.020936,0.021852
8,256,0.038721,0.0328541,0.0368241,0.031034
8,512,0.066732,0.042595,0.045259,0.0437701
8,1024,0.06911,0.052401,0.0539879,0.053365
8,2048,0.081627,0.0572919,0.06369,0.063671
8,4096,0.082556,0.06605,0.069069,0.072192
8,8192,0.099096,0.074212,0.079079,0.077347
8,16384,0.097582,0.081594,0.085331,0.086003
8,32768,0.112498,0.089455,0.0912761,0.091659
8,65536,0.168862,0.097111,0.09934,0.101679
8,131072,0.244656,0.10792,0.110319,0.119896
8,262144,0.395845,0.120765,0.134196,0.143933
8,524288,0.723685,0.15642,0.173561,0.19164
16,2,0.02637,0.028517,0.011089,0.011748
16,4,0.0112701,0.028932,0.0120631,0.0114059
16,8,0.011201,0.02541,0.010448,0.0114961
16,16,0.013017,0.011523,0.0118229,0.010084
16,32,0.027006,0.028925,0.012818,0.013183
16,64,0.0149559,0.0162679,0.014633,0.015316
16,128,0.0364039,0.028905,0.02242,0.022267
16,256,0.045549,0.037461,0.030052,0.033699
16,512,0.06955,0.0471939,0.042742,0.0426339
16,1024,0.103365,0.049648,0.050694,0.049822
16,2048,0.0840681,0.061775,0.061382,0.0603169
16,4096,0.100118,0.0634769,0.07117,0.06459
16,8192,0.119278,0.075331,0.075077,0.076468
16,16384,0.133807,0.096519,0.101406,0.101162
16,32768,0.160099,0.141725,0.144906,0.13754
16,65536,0.25255,0.225773,0.238458,0.230244
16,131072,0.435831,0.386972,0.420834,0.412872
16,262144,0.776137,0.739375,0.7889,0.780143
16,524288,1.51329,1.41757,1.4966,1.49744
32,2,0.0110789,0.011054,0.011562,0.011848
32,4,0.011199,0.027032,0.010661,0.011573
32,8,0.011944,0.02611,0.011001,0.011786
32,16,0.0227,0.035087,0.012398,0.018701
32,32,0.0250629,0.013091,0.013244,0.012996
32,64,0.030588,0.028334,0.015947,0.015567
32,128,0.023203,0.041261,0.022283,0.0241401
32,256,0.045777,0.033502,0.033394,0.032893
32,512,0.070888,0.044863,0.043701,0.043827
32,1024,0.073847,0.050184,0.049326,0.053869
32,2048,0.0893311,0.059182,0.061209,0.061096
32,4096,0.098862,0.069594,0.071694,0.070588
32,8192,0.104581,0.0761439,0.0802791,0.079571
32,16384,0.109793,0.081176,0.090316,0.091776
32,32768,0.120862,0.097056,0.101819,0.104726
32,65536,0.181228,0.109306,0.116865,0.117333
32,131072,0.205453,0.143769,0.155513,0.161135
32,262144,0.2567,0.206167,0.223992,0.221543
32,524288,0.385598,0.322047,0.346766,0.353001
64,2,0.014246,0.029177,0.015679,0.014085
64,4,0.014191,0.021106,0.013049,0.015979
64,8,0.026903,0.036262,0.0129391,0.022802
64,16,0.01233,0.029847,0.0130261,0.014711
64,32,0.014029,0.029312,0.013314,0.016312
64,64,0.015326,0.025468,0.01569,0.014967
64,128,0.028227,0.036537,0.0223521,0.022754
64,256,0.044169,0.04876,0.036662,0.034136
64,512,0.069047,0.0424361,0.044067,0.0479461
64,1024,0.081446,0.051755,0.053949,0.054061
64,2048,0.093462,0.059668,0.063472,0.064107
