Degree,Iteration,No Vector Time,Implicit Time,Intrinsic Time,Intrinsic aligned,LGA,LGAS
256,64,0.0148639,6.37333,0.0138369,0.0255369,0.0192119,0.0147021
256,128,0.020035,0.0227131,0.0202719,0.019662,0.0225089,0.0213461
256,256,0.0247729,0.0252969,0.0286291,0.0254309,0.0239919,0.0260999
256,512,0.0362519,0.029831,0.0296101,0.0326449,0.0301981,0.0319601
256,1024,0.0342391,0.0379181,0.034246,0.0344131,0.0353129,0.0376941
256,2048,0.0435969,0.0438169,0.0466341,0.0420399,0.0384281,0.0386169
256,4096,0.058701,0.056118,0.057737,0.054948,0.046659,0.045215
256,8192,0.0919081,0.0845,0.090307,0.080196,0.0622459,0.060577
256,16384,0.150827,0.13622,0.149612,0.130304,0.0919261,0.0979541
256,32768,0.27762,0.244931,0.274079,0.225802,0.142967,0.144938
256,65536,0.520656,0.451028,0.514495,0.419967,0.246354,0.255691
256,131072,0.995258,0.873056,0.995351,0.798736,0.453604,0.475991
256,262144,1.90167,1.70489,1.99253,1.55269,0.869632,0.901825
256,524288,3.58876,3.36963,3.90707,3.07433,1.6898,1.76206
256,1048576,6.99784,6.70516,7.74695,6.10885,3.34663,3.48325
256,2097152,13.9116,13.3642,15.4378,12.1855,6.64231,6.90249
256,4194304,27.6089,26.6863,30.8249,24.3265,13.2311,13.7705
256,8388608,55.1299,53.3284,61.592,48.6065,26.3828,27.4821
256,16777216,110.193,106.667,123.118,97.161,52.946,54.9431
512,64,0.019271,0.028089,0.013788,0.0137471,0.013529,0.0140449
512,128,0.0203579,0.019244,0.0195829,0.020363,0.020798,0.020009
512,256,0.023586,0.0240091,0.026058,0.023406,0.024952,0.025599
512,512,0.030301,0.035793,0.030819,0.032921,0.029129,0.0269899
512,1024,0.0383999,0.039276,0.0477059,0.0392019,0.0325791,0.0381281
512,2048,0.054333,0.053988,0.0563099,0.051594,0.0419509,0.0427909
512,4096,0.083754,0.0784811,0.086271,0.0742479,0.054021,0.0601989
512,8192,0.146788,0.13019,0.157131,0.120618,0.0808701,0.0855141
512,16384,0.261349,0.235204,0.26827,0.221616,0.132232,0.142414
512,32768,0.49709,0.490641,0.511795,0.404818,0.242186,0.249927
512,65536,0.955487,0.854982,1.01648,0.787015,0.449676,0.471821
512,131072,1.78221,1.68628,1.97404,1.53909,0.850295,0.91606
512,262144,3.45412,3.37912,3.88386,3.03235,1.6636,1.79429
512,524288,6.86916,6.66153,7.69473,6.03557,3.2886,3.55419
512,1048576,13.5195,13.2297,15.3354,12.0261,6.53138,7.0789
512,2097152,26.9221,26.4532,30.6111,24.0162,13.0279,14.1227
512,4194304,53.6484,52.8327,61.1667,47.9845,26.001,28.2067
512,8388608,107.189,105.594,122.275,95.9359,51.9345,56.3995
512,16777216,214.242,211.249,244.511,191.857,103.82,112.74
1024,64,0.031187,0.0214809,0.014459,0.015486,0.01614,0.0151369
1024,128,0.0215801,0.0337651,0.02158,0.0217,0.0226291,0.021286
1024,256,0.042267,0.0547439,0.033628,0.0377579,0.035849,0.0273279
1024,512,0.0704401,0.038403,0.0346831,0.032144,0.0298701,0.0298479
1024,1024,0.108898,0.12654,0.0586879,0.050548,0.0393521,0.0434009
1024,2048,0.0805239,0.213973,0.082547,0.06996,0.052009,0.05303
1024,4096,0.141785,0.405272,0.140937,0.117126,0.083721,0.0827391
1024,8192,0.256249,0.8531,0.258292,0.212682,0.130914,0.130101
1024,16384,0.487015,1.20809,0.501114,0.391068,0.238839,0.24685
1024,32768,0.954404,0.939313,0.969284,0.761435,0.436215,0.452723
1024,65536,1.79849,1.77321,1.94735,1.48753,0.84707,0.872345
1024,131072,3.40413,3.8945,3.83299,2.95048,1.65793,1.71169
