Degree,Iteration,No Vector Time,Implicit Time,Intrinsic Time,Intrinsic aligned,LGA,LGAS
256,64,0.0101111,3.61009,0.0101729,0.0185259,0.0106549,0.00987704
256,128,0.0127361,0.013611,0.0110631,0.012091,0.012136,0.0134679
256,256,0.0148579,0.027924,0.0147649,0.014695,0.014558,0.0132169
256,512,0.018995,0.0331851,0.0185991,0.0180951,0.0240779,0.0161481
256,1024,0.0276519,0.0275679,0.0270741,0.0236701,0.0196681,0.0199779
256,2048,0.045184,0.0418901,0.0447189,0.0380861,0.026447,0.028231
256,4096,0.0774349,0.072083,0.078621,0.0643979,0.0426361,0.042982
256,8192,0.145844,0.130074,0.144362,0.118785,0.074208,0.0729581
256,16384,0.284621,0.244535,0.279036,0.22175,0.128992,0.135438
256,32768,0.549189,0.478643,0.548753,0.438646,0.24373,0.257055
256,65536,1.0734,0.967863,1.10601,0.84917,0.478343,0.503026
256,131072,2.07688,1.86972,2.18539,1.72258,0.937932,0.97983
256,262144,3.98292,3.72243,4.31266,3.36613,1.86301,1.97407
256,524288,7.86925,7.44096,8.53131,6.78649,3.66956,3.86364
256,1048576,15.5612,14.8776,17.1201,13.4308,7.4051,7.85735
256,2097152,31.02,29.5443,34.2882,27.0953,14.6319,15.3598
256,4194304,61.9382,59.5186,68.1433,53.4225,29.223,30.9886
256,8388608,123.917,118.164,136.358,108.406,58.3707,61.2618
256,16777216,247.191,235.994,270.528,212.077,116.229,123.182
512,64,0.0132789,0.0143859,0.00999894,0.0118091,0.0109899,0.011139
512,128,0.0139641,0.0150119,0.0130619,0.012199,0.012921,0.0119731
512,256,0.024744,0.019026,0.0183211,0.022937,0.0151229,0.0161391
512,512,0.0251461,0.0256591,0.0268649,0.0234269,0.0195229,0.017804
512,1024,0.0432881,0.041516,0.044252,0.0385359,0.029473,0.030912
512,2048,0.075728,0.070399,0.076549,0.0619981,0.0418159,0.0417239
512,4096,0.142804,0.12829,0.146399,0.123275,0.0721739,0.075216
512,8192,0.27516,0.261953,0.277807,0.222767,0.126967,0.133277
512,16384,0.543868,0.476522,0.535652,0.424636,0.239706,0.251698
512,32768,1.03349,0.937732,1.10852,0.838592,0.468865,0.497356
512,65536,1.98578,1.88259,2.17886,1.67105,0.927588,0.978029
512,131072,3.86827,3.7018,4.28648,3.27951,1.80646,1.90703
512,262144,7.60756,7.43855,8.50645,6.52484,3.60806,3.74508
512,524288,15.1667,14.7036,17.0545,13.1126,7.13537,7.47096
512,1048576,30.1807,29.1478,33.5816,25.9308,14.3263,15.1248
512,2097152,60.2518,57.9079,67.1134,52.4326,28.9676,30.3185
512,4194304,120.361,118.237,134.506,103.997,58.2597,61.1793
512,8388608,240.516,235.334,271.46,209.182,114.607,120.323
512,16777216,480.986,466.055,535.209,415.279,229.828,242.932
1024,64,0.0115799,0.0190329,0.0118189,0.0115731,0.00997899,0.0098881
1024,128,0.0369261,0.0456889,0.0439491,0.0384291,0.036443,0.0366801
1024,256,0.0519719,0.0583381,0.0552219,0.048266,0.0440569,0.0499909
1024,512,0.129122,0.074604,0.137926,0.129805,0.114282,0.11769
1024,1024,0.229901,0.259764,0.0750569,0.0594701,0.038944,0.0389219
1024,2048,0.354594,0.367441,0.38687,0.304805,0.318463,0.073331
1024,4096,0.982723,0.472472,0.479146,0.212594,0.126549,0.126112
1024,8192,0.527595,1.69506,0.54675,0.418089,0.241336,0.248181
1024,16384,1.07755,1.05285,1.11071,0.823069,0.47452,0.498181
1024,32768,1.9777,5.16605,2.17013,1.64512,0.929591,0.928509
1024,65536,3.79858,5.06951,4.29507,3.24265,1.84701,1.85158
1024,131072,7.51727,14.2045,8.57989,6.52151,3.67811,3.92541
1024,262144,14.9524,17.3763,16.8684,12.8714,7.2237,7.26943
1024,524288,29.7445,29.1406,33.6031,25.9098,14.4642,14.4284
1024,1048576,59.5027,58.8097,68.0516,51.9286,29.2941,31.1598
1024,2097152,118.623,117.188,134.178,102.554,57.5412,57.3208
1024,4194304,237.087,234.047,267.521,204.841,114.821,113.837
1024,8388608,475.054,462.172,534.423,408.349,229.336,245.699
1024,16777216,947.794,921.118,1064.4,812.733,461.877,457.503
2048,64,0.015185,0.028663,0.0211379,0.0211439,0.0192609,0.0187059
2048,128,0.054995,0.053166,0.0410851,0.059051,0.0483029,0.0512311
