Degree,Iteration,No Vector Time,Implicit Time,Intrinsic Time,Intrinsic aligned,LGA,LGAS
256,64,0.00810501,2.95799,0.00753812,0.00811809,0.00701293,0.00806788
256,128,0.012359,0.018476,0.012422,0.0117299,0.010538,0.0103119
256,256,0.0173709,0.0206941,0.0170429,0.015553,0.012129,0.012466
256,512,0.0281561,0.030829,0.027788,0.023606,0.017267,0.0177411
256,1024,0.0409119,0.069601,0.0411189,0.0327561,0.021476,0.022714
256,2048,0.0723101,0.0891999,0.0718049,0.0595659,0.036287,0.0371361
256,4096,0.138129,0.12819,0.136624,0.109352,0.0649781,0.0676991
256,8192,0.28141,0.240626,0.273122,0.217545,0.122767,0.128642
256,16384,0.53283,0.471542,0.545261,0.425655,0.238267,0.25849
256,32768,1.06599,0.941408,1.07595,0.838383,0.469588,0.4685
256,65536,1.99644,1.84265,2.12445,1.65733,0.907069,0.976876
256,131072,3.98395,3.63855,4.19369,3.2667,1.78509,1.87784
256,262144,7.83745,7.29138,8.3614,6.46355,3.56084,3.76998
256,524288,15.4792,14.3275,16.4725,12.9702,7.09897,7.3999
256,1048576,30.8456,28.8019,33.1501,25.8828,13.9928,14.8833
256,2097152,61.7821,56.7024,65.2677,51.3976,28.0818,29.217
256,4194304,123.581,113.555,129.884,102.184,55.7699,59.1576
256,8388608,247.083,222.44,254.935,200.766,109.497,113.844
256,16777216,493.771,443.508,511.04,399.983,218.981,232.421
512,64,0.00997203,0.013288,0.00867198,0.00856504,0.00763897,0.00868693
512,128,0.013447,0.015402,0.015498,0.0130171,0.00980794,0.0111601
512,256,0.021767,0.0227389,0.023863,0.01887,0.013807,0.0191429
512,512,0.0376211,0.0373621,0.042503,0.0298541,0.0204061,0.020643
512,1024,0.069082,0.0636011,0.0719259,0.0544859,0.0348949,0.035105
512,2048,0.135053,0.123936,0.137617,0.106526,0.0644041,0.0664739
512,4096,0.268799,0.233291,0.271546,0.206522,0.120639,0.124443
512,8192,0.516195,0.46181,0.534365,0.403714,0.232954,0.246321
512,16384,1.01307,0.898774,1.02483,0.774439,0.432809,0.455681
512,32768,1.94175,1.82146,2.11917,1.55372,0.904471,0.938752
512,65536,3.84322,3.55469,4.13205,3.14426,1.80671,1.81987
512,131072,7.55832,7.09076,8.14937,6.17996,3.50942,3.62606
512,262144,15.0718,14.2034,16.1315,12.3218,7.00427,7.22531
512,524288,30.0569,28.2222,31.5514,24.2073,13.7483,14.2167
512,1048576,60.1244,56.0443,63.4198,48.5518,27.5936,28.9646
512,2097152,120.186,111.23,126.314,97.4326,54.9803,57.1304
512,4194304,240.207,219.999,253.587,194.256,110.093,115.829
512,8388608,480.396,440.464,508.313,389.51,220.767,228.886
512,16777216,960.614,883.773,1015.82,778.584,442.721,455.515
1024,64,0.012558,0.0172031,0.0184281,0.015503,0.00874407,0.00903798
1024,128,0.020647,0.0367239,0.0487489,0.03392,0.012835,0.012515
1024,256,0.0368839,0.0363269,0.0648719,0.0297471,0.019765,0.019063
1024,512,0.0703911,0.0742529,0.108057,0.074928,0.0334019,0.0349719
1024,1024,0.131855,0.144758,0.135497,0.104117,0.062044,0.061082
1024,2048,0.257948,0.244051,0.273811,0.199569,0.114545,0.123443
1024,4096,0.525581,0.450121,1.02925,0.403497,0.232977,0.249789
1024,8192,1.01548,0.910942,1.06976,0.793695,0.442145,0.473064
1024,16384,1.9049,1.79698,2.20115,1.5311,0.89782,0.871722
1024,32768,3.78327,3.57046,4.13081,3.16037,1.77447,1.87654
1024,65536,7.44865,6.99106,8.08663,6.00335,3.43124,3.34901
1024,131072,14.8922,14.1104,15.8575,12.3145,6.75903,7.47694
1024,262144,29.7066,27.4633,31.867,24.1257,13.691,13.4193
1024,524288,59.3093,56.3845,64.4936,49.7208,27.6573,29.9762
1024,1048576,118.637,111.057,128.636,96.5275,54.8082,53.4651
1024,2097152,237.149,225.516,258.193,197.058,109.346,118.174
1024,4194304,474.48,437.837,511.964,386.542,219.701,216.468
1024,8388608,948.196,894.124,1020.49,787.087,437.259,472.568
1024,16777216,1897.75,1750.36,2039.78,1544.28,877.141,865.463
2048,64,0.042849,0.052176,0.040662,0.042717,0.024004,0.027731
2048,128,0.0657001,0.076664,0.0754269,0.030931,0.0406249,0.0443021
2048,256,0.133479,0.173778,0.0695819,0.054391,0.033026,0.03469
2048,512,0.318696,0.296368,0.136226,0.104948,0.062595,0.065739
2048,1024,0.5771,0.43763,0.280792,0.597033,0.349204,0.473909
2048,2048,0.593816,1.25813,0.507404,0.389582,0.221232,0.235596
2048,4096,1.67104,1.29455,1.08231,0.813242,0.46011,0.47748
2048,8192,4.31068,2.87533,2.0487,1.57433,0.883028,0.946033
2048,16384,3.74697,3.92554,4.19271,3.18236,1.74256,1.83173
2048,32768,7.41405,7.37187,8.13605,6.16196,3.49084,3.74116
2048,65536,14.762,14.4511,16.3556,12.464,6.97643,7.23167
2048,131072,29.4825,28.2775,32.1106,24.3789,13.7677,14.7562
2048,262144,58.8842,56.156,64.7383,49.2218,27.7579,28.6733
2048,524288,117.771,114.696,128.193,97.3907,55.1342,58.9873
2048,1048576,235.412,223.274,256.118,194.847,110.299,114.49
2048,2097152,470.79,446.678,507.21,385.336,219.343,233.035
2048,4194304,941.331,888.545,1024.62,784.463,439.468,459.602
2048,8388608,1882.81,1796.8,2039.21,1536.08,870.579,951.325
2048,16777216,3765.18,3627.84,4094.36,3120.4,1763.65,1811.94
4096,64,0.068404,0.080941,0.0678519,0.0385081,0.0361871,0.0257309
4096,128,0.127144,0.127342,0.112368,0.107862,0.0901439,0.0797651
4096,256,0.242799,0.296487,0.188324,0.114153,0.0747099,0.063656
4096,512,0.41158,0.48734,0.257056,0.200136,0.124489,0.122395
4096,1024,0.494282,0.767977,0.525919,0.405764,0.247341,0.259035
4096,2048,1.14489,2.21757,1.06897,0.78381,0.47283,0.479607
4096,4096,2.27002,3.5589,2.06991,1.60586,0.942657,0.959399
4096,8192,3.80106,3.67481,4.12087,3.10409,1.87923,1.8807
4096,16384,7.41867,7.13473,7.96792,6.14994,3.7138,3.6844
4096,32768,14.8214,14.3372,16.1815,12.3911,7.46814,7.37577
4096,65536,29.5798,30.0522,32.2167,24.7897,14.9966,14.769
4096,131072,59.0957,58.0565,64.2435,49.126,29.482,29.307
4096,262144,118.119,110.993,127.843,98.5194,60.0617,60.1239
4096,524288,236.3,229.976,261.722,201.6,121.459,120.372
4096,1048576,472.416,454.069,523.423,402.9,242.907,239.475
4096,2097152,944.787,898.644,1018.58,785.126,475.501,468.151
4096,4194304,1889.56,1771.37,2044.32,1573.85,955.814,944.732
4096,8388608,3779.47,3552.75,4127.17,3160.31,1916.38,1885.75
4096,16777216,7563.11,7146.03,8314.35,6367.24,3820.59,3764.51
8192,64,0.072211,0.108634,0.080653,0.0660351,0.0401161,0.0415881
8192,128,0.131548,0.152506,0.144996,0.123388,0.0715041,0.0736541
8192,256,0.263147,0.356165,0.282072,0.241321,0.13562,0.148022
8192,512,0.528129,0.597208,0.573407,0.482884,0.273304,0.282337
8192,1024,1.02194,1.21711,1.14731,0.947386,0.526712,0.541804
8192,2048,1.93974,2.46039,2.18752,1.8819,1.00673,1.05195
8192,4096,3.90716,4.70699,4.65108,3.79393,2.13689,2.21639
8192,8192,7.54305,9.19228,8.80601,7.53918,4.14095,4.29663
8192,16384,15.7062,17.6239,18.706,14.9303,8.549,8.83567
8192,32768,30.5732,36.214,36.6115,30.3101,16.9424,17.6915
8192,65536,61.0806,70.6666,71.9041,59.1669,32.9453,34.3065
8192,131072,122.038,144.93,147.046,120.98,67.6927,70.3777
8192,262144,241.656,289.059,285.75,239.393,132.748,138.306
8192,524288,483.497,571.704,564.478,470.655,260.396,271.22
8192,1048576,1000.37,1115.24,1193.22,950.453,540.685,557.394
8192,2097152,1901.61,2245.52,2200.83,1863.79,1021.89,1067.54
8192,4194304,3803.44,4503.88,4404.84,3740.56,2043.63,2145.52
8192,8388608,7803.33,9017.05,9102.09,7540.84,4224.58,4379.24
8192,16777216,15488,17925.1,17613.6,15004.4,8211.08,8528.05
16384,64,0.140898,0.17758,0.153238,0.123564,0.072387,0.0747979
16384,128,0.258689,0.29889,0.286005,0.241194,0.134406,0.140639
16384,256,0.497395,0.573201,0.555327,0.475951,0.264233,0.28472
16384,512,0.986661,1.17632,1.11183,0.910501,0.508362,0.533494
16384,1024,1.9364,2.31211,2.25196,1.89395,1.03011,1.08593
16384,2048,3.82341,4.52379,4.45286,3.76035,2.06004,2.13795
16384,4096,7.54179,9.0396,8.58577,7.29171,3.97942,4.13549
16384,8192,14.9791,17.6088,17.1998,14.6898,8.0134,8.32177
16384,16384,29.9073,35.8884,35.1794,29.8392,16.358,17.1019
16384,32768,59.7111,69.8084,68.3358,58.3184,31.7563,33.1154
16384,65536,119.402,142.776,138.219,117.465,63.9647,66.7803
16384,131072,238.719,288.202,281.467,234.114,127.875,133.841
16384,262144,477.158,561.464,546.814,464.243,257.482,267.734
16384,524288,950.397,1123.23,1100.9,935.644,510.823,531.39
16384,1048576,1900.52,2238.87,2199.4,1874.86,1021.82,1068.43
16384,2097152,3800.97,4482.1,4408.09,3737.07,2044.01,2122.94
16384,4194304,7602.07,8995.51,8852,7496.74,4073.55,4251.6
16384,8388608,15204.1,17938.8,17663,14961.6,8137.9,8521.04
16384,16777216,30411.1,35922.3,35443.7,29974.7,16364.9,17062.6
32768,64,0.279384,0.336425,0.288316,0.242165,0.136121,0.141201
32768,128,0.527275,0.6084,0.575862,0.469441,0.26492,0.273862
32768,256,1.01581,1.15804,1.1311,0.931806,0.526063,0.542429
32768,512,1.97645,2.22219,2.2781,1.85313,1.04173,1.08111
32768,1024,3.86547,4.49546,4.51806,3.69194,2.06894,2.15226
32768,2048,7.66987,8.80685,9.00477,7.37518,4.05671,4.29438
32768,4096,15.2922,17.5946,18.0165,14.6872,8.18454,8.57738
32768,8192,30.5467,35.0409,36.0369,29.3782,16.5164,17.0912
32768,16384,60.9647,70.4808,71.547,58.7198,32.8922,34.2411
32768,32768,121.928,140.265,143.739,117.49,65.7737,68.8045
32768,65536,243.778,279.771,284.627,233.979,130.977,136.499
32768,131072,487.415,561.502,572.252,470.197,263.448,273.253
32768,262144,974.97,1115.79,1165.67,956.233,537.373,555.272
32768,524288,1949.47,2248.78,2287.82,1870.93,1051.97,1088.5
32768,1048576,3899.61,4461.9,4564.97,3745.35,2084.79,2161.16
32768,2097152,7748.56,8951.62,9011.3,7493.98,4180.81,4339.55
32768,4194304,15497.1,17818.1,18087.6,14918.5,8318.72,8658.67
32768,8388608,30994.3,35716.4,36274.6,29933.8,16571.5,17300.9
32768,16777216,61678,71629.8,73045.1,59990.4,33334.5,34619.4
65536,64,0.545078,0.642973,0.573118,0.489305,0.268847,0.279032
