Degree,Iteration,No Vector Time,Implicit Time,Intrinsic Time,Intrinsic aligned,LGA,LGAS
256,64,0.00939092,2.51928,0.00859405,0.00750701,0.00636093,0.00587598
256,128,0.01246,0.013221,0.0118721,0.0105119,0.00794594,0.00767395
256,256,0.0294049,0.0440189,0.0299,0.0168951,0.0118341,0.0119981
256,512,0.0365731,0.045095,0.0366601,0.033763,0.018515,0.0190409
256,1024,0.0693431,0.0661619,0.0682111,0.054603,0.0321451,0.033809
256,2048,0.133895,0.11632,0.13226,0.107698,0.0601781,0.062661
256,4096,0.262893,0.27167,0.259229,0.204555,0.115968,0.129426
256,8192,0.520813,0.465267,0.523345,0.398875,0.223978,0.232952
256,16384,1.02095,0.976283,1.03857,0.795788,0.447384,0.462957
256,32768,1.98547,1.86742,2.05926,1.60682,0.887892,0.904148
256,65536,3.91105,3.50691,4.05546,3.14688,1.734,1.83031
256,131072,7.7601,6.9391,8.11797,6.32143,3.50433,3.64475
256,262144,15.5012,14.0324,16.2151,12.6255,6.99323,7.30624
256,524288,30.8928,27.0561,31.6214,24.6137,13.5837,14.0382
256,1048576,61.7237,56.0099,64.796,50.4896,27.8697,28.3821
256,2097152,123.139,108.613,126.925,98.5574,54.2295,56.015
256,4194304,246.346,218.516,252.887,197.017,108.386,113.406
256,8388608,493.185,431.535,505.015,393.28,216.873,224.937
256,16777216,986.593,871.766,1009.44,786.161,433.663,453.438
512,64,0.011172,0.0292031,0.011848,0.00986595,0.00715892,0.00722792
512,128,0.0336939,0.030457,0.025821,0.021487,0.017206,0.0189679
512,256,0.0562939,0.063582,0.034548,0.027567,0.0172469,0.0174951
512,512,0.25618,0.235511,0.244435,0.207268,0.168697,0.0318081
512,1024,0.129307,0.127621,0.126506,0.099291,0.056575,0.060557
512,2048,0.995698,0.91283,0.946734,0.831559,0.268935,0.124211
512,4096,0.490217,0.600827,0.492399,0.385195,0.216591,0.230215
512,8192,1.00041,0.855359,1.01329,0.77468,0.442872,0.460778
512,16384,1.9144,1.86307,1.98922,1.52792,0.84267,0.909318
512,32768,3.82557,3.39352,3.96921,3.05813,1.69583,1.80026
512,65536,18.1526,24.728,7.98248,6.10891,3.4252,3.6229
512,131072,15.1467,13.787,15.7599,12.1409,6.69362,7.09321
512,262144,30.1031,27.0999,31.481,24.3742,13.4756,14.4626
512,524288,60.2238,54.3358,62.8078,48.6968,26.7917,28.3808
512,1048576,120.302,108.887,126.654,97.4758,53.4172,58.3111
512,2097152,240.822,216.72,251.915,194.195,107.248,113.835
512,4194304,481.083,434.792,504.921,390.072,214.586,231.75
512,8388608,963.123,864.612,1005.92,777.491,428.202,453.778
