Degree,Iteration,No Vector Time,Implicit Time,Intrinsic Time,Intrinsic aligned,LGA,LGAS
256,64,0.0685999,12.2808,0.0449899,0.04303,0.043519,0.0811491
256,128,0.070799,0.03888,0.0417191,0.0418199,0.06354,0.04327
256,256,0.118889,0.0453801,0.0542501,0.0507801,0.0431989,0.0436589
256,512,0.214428,0.0688389,0.0853891,0.091939,0.048309,0.053989
256,1024,0.429927,0.117529,0.149669,0.136889,0.0727691,0.0854289
256,2048,0.805864,0.212809,0.273137,0.249758,0.122779,0.145539
256,4096,1.57202,0.418286,0.536436,0.477396,0.237038,0.265298
256,8192,3.12584,0.790854,1.03348,0.941833,0.457377,0.504887
256,16384,5.77032,1.43145,1.90049,1.72883,0.756774,0.932502
256,32768,11.5344,2.85124,3.76675,3.41647,1.47582,1.83265
256,65536,22.9903,5.69449,7.48365,6.80765,2.93857,3.61559
256,131072,45.8238,11.3145,14.9378,13.5281,5.84847,7.20645
256,262144,91.5739,22.5531,29.8,27.0861,11.6545,14.4134
256,524288,183.339,45.0498,59.6769,54.0973,23.2578,28.8179
256,1048576,366.738,90.0461,119.322,108.174,46.479,57.5812
256,2097152,732.433,180.282,238.42,215.975,92.814,114.975
256,4194304,1466.37,359.755,477.168,432.934,185.813,230.215
256,8388608,2932.5,720.023,954.099,865.307,371.7,460.655
256,16777216,5866.63,1439.69,1909.96,1730.26,743.936,921.056
512,64,0.0663889,0.0361991,0.0333099,0.0398,0.0392199,0.0391289
512,128,0.11011,0.0421699,0.05009,0.0488101,0.04029,0.0390189
512,256,0.199409,0.06504,0.092889,0.0749989,0.0453399,0.0508299
512,512,0.404847,0.108159,0.137909,0.128339,0.0689691,0.0793991
512,1024,0.741934,0.196679,0.252958,0.235008,0.115489,0.148829
512,2048,1.4593,0.372067,0.484056,0.460156,0.208858,0.252438
512,4096,2.87199,0.721775,0.955732,0.884473,0.406746,0.482516
512,8192,5.75686,1.43292,1.88877,1.74206,0.765544,0.940912
512,16384,11.4478,2.85865,3.74518,3.45282,1.51657,1.87851
512,32768,22.8785,5.67879,7.45691,6.88036,3.01487,3.74853
512,65536,45.6501,11.3265,14.8888,13.7324,6.00793,7.446
512,131072,91.1657,22.6226,29.734,27.4026,12.3616,14.8566
