Degree,Iteration,OMPTime,VecTime,Auto Vec Time
2048,2048,3.07374,3.07391,3.00587
2048,4096,3.13988,3.19019,3.10494
2048,8192,3.3069,3.3957,3.22506
2048,16384,3.56378,3.75304,3.4997
2048,32768,4.08873,4.47706,4.03273
2048,65536,5.2268,5.98801,5.13857
2048,131072,7.4282,9.90335,10.7594
2048,262144,11.7777,14.9689,11.6644
2048,524288,20.5305,26.9268,26.2378
2048,1048576,39.5679,59.6462,45.5608
2048,2097152,74.0809,98.4461,72.5892
2048,4194304,181.915,236.714,207.578
2048,8388608,317.906,410.091,348.547
2048,16777216,577.773,836.675,595.917
4096,64,6.53723,4.3644,3.4156
4096,128,3.63742,3.57429,3.09098
4096,256,3.6865,3.6624,3.22106
4096,512,3.72004,3.75808,3.25796
4096,1024,3.91137,3.93322,3.34172
4096,2048,4.39793,4.29075,3.52369
4096,4096,4.78145,5.08835,3.91993
4096,8192,6.18353,6.61855,4.61438
4096,16384,8.25355,9.99206,6.15977
4096,32768,12.6179,16.4571,9.17688
4096,65536,22.6172,28.4468,15.144
4096,131072,25.5605,27.3667,19.531
4096,262144,28.6622,43.703,35.8978
4096,524288,67.212,63.7225,66.7894
4096,1048576,99.9921,104.812,114.974
4096,2097152,162.229,230.503,158.568
4096,4194304,313.483,395.284,379.813
4096,8388608,600.176,868.708,565.961
4096,16777216,1205.15,1534.27,1100.98
8192,64,3.56916,3.13099,3.06646
8192,128,3.15614,3.09668,3.0868
8192,256,3.17213,3.10487,3.12762
8192,512,3.20628,3.15761,3.17221
8192,1024,3.30698,3.29436,3.25049
8192,2048,3.38602,3.44866,3.35466
8192,4096,3.6521,3.78892,3.62863
8192,8192,4.22009,4.56364,4.12511
8192,16384,5.35092,6.05256,5.15292
8192,32768,7.65013,9.04198,7.22299
8192,65536,11.91,15.0187,11.4392
8192,131072,20.649,27.047,20.2686
8192,262144,37.7723,55.6172,36.7373
8192,524288,73.3805,108.54,83.1466
8192,1048576,223.486,274.012,323.193
8192,2097152,284.992,382.998,280.921
8192,4194304,565.244,767.193,570.035
8192,8388608,1156.43,1533.65,1651.21
8192,16777216,2379.15,3429.14,2341.64
16384,64,3.70545,3.34832,3.29606
16384,128,3.12448,3.30534,3.35643
16384,256,3.44026,3.35927,3.3907
16384,512,3.49971,3.49627,3.44528
16384,1024,3.25285,3.72795,3.60856
16384,2048,3.9831,4.14289,3.85765
16384,4096,4.52396,4.94162,4.3441
16384,8192,5.59779,6.59336,5.35572
16384,16384,7.72204,9.23232,7.41356
16384,32768,12.1121,15.1895,11.555
16384,65536,20.7082,27.2914,20.8483
16384,131072,39.2503,51.6586,38.2067
16384,262144,73.1299,98.5768,79.1572
16384,524288,144.368,193.643,137.121
16384,1048576,284.6,385.96,274.186
16384,2097152,571.404,769.996,565.957
16384,4194304,1131.58,1523.78,1102.31
16384,8388608,2296.5,3046.27,2188.72
16384,16777216,4689.11,6120.11,4403.34
32768,64,3.73797,3.38267,3.34208
32768,128,3.55954,3.4334,3.42592
32768,256,3.04991,3.50123,3.48274
32768,512,3.70773,3.73123,3.6793
32768,1024,3.58164,4.15821,3.96078
32768,2048,4.79402,4.90864,4.50522
32768,4096,5.95274,6.39382,5.52394
32768,8192,8.36154,9.34786,7.64823
32768,16384,11.7794,15.2813,11.4866
32768,32768,22.6416,27.1433,20.2082
32768,65536,41.8412,50.9837,37.2663
32768,131072,73.891,99.8562,68.5789
32768,262144,154.669,195.353,140.209
32768,524288,311.501,384.126,273.776
32768,1048576,569.399,767.538,545.945
32768,2097152,1225.93,1533.4,1133.21
32768,4194304,2577.75,3061.62,2368.02
32768,8388608,4654.48,6116.49,5381.63
32768,16777216,10206.5,12252.3,9331.46
65536,64,6.71874,4.39462,3.94366
65536,128,3.85849,4.04671,3.82925
65536,256,4.46315,4.03222,6.21627
65536,512,10.8924,8.56243,7.74975
65536,1024,12.4759,10.3239,8.67815
65536,2048,15.6737,13.8557,11.2713
65536,4096,17.7788,21.1791,15.9071
65536,8192,13.836,17.5792,13.9353
65536,16384,24.0651,29.4748,23.7379
65536,32768,44.8306,55.648,46.4544
65536,65536,87.75,108.642,89.3653
65536,131072,173.418,216.474,177.106
65536,262144,342.175,423.032,376.806
65536,524288,691.358,853.639,716.985
65536,1048576,1382.57,1767.6,1439.27
65536,2097152,2844.24,3400.24,3055.75
65536,4194304,5620.18,6767.03,5798.46
65536,8388608,11262.5,13688.7,11592.3
65536,16777216,22841.7,28455.1,23038.9
