Degree,Iteration,No Vector Time,Implicit Time,Intrinsic Time,Intrinsic aligned,LGA,LGAS
16,64,0.0684624,0.0739158,0.0676939,0.0679904,0.0678633,0.0673533
16,128,0.131719,0.131461,0.079222,0.0724886,0.073078,0.0721646
16,256,0.0759202,0.0835028,0.0802557,0.0771121,0.0803533,0.0774289
16,512,0.0794859,0.0801565,0.0821562,0.0828772,0.0806304,0.0821468
16,1024,0.0255961,0.0287162,0.0406146,0.0299289,0.0263377,0.0290911
16,2048,0.0343683,0.031306,0.0408779,0.0307119,0.0292526,0.0331754
16,4096,0.0518043,0.0398544,0.0414856,0.0419375,0.0352592,0.0339365
16,8192,0.0557387,0.0532671,0.062988,0.0630355,0.0364388,0.0408953
16,16384,0.0928938,0.0995672,0.106013,0.0982376,0.0424687,0.0467894
16,32768,0.180605,0.187479,0.181733,0.193893,0.0492045,0.0511201
16,65536,0.305473,0.321981,0.358253,0.340429,0.0597582,0.0598434
16,131072,0.590458,0.611123,0.681105,0.662085,0.076365,0.071914
16,262144,1.18595,1.22412,1.36006,1.29201,0.108232,0.103539
16,524288,2.29769,2.28485,2.61151,2.49427,0.184451,0.180083
16,1048576,4.71424,4.68203,5.35186,5.13814,0.326394,0.318763
16,2097152,9.0677,9.03812,10.2683,9.77089,0.609911,0.601698
16,4194304,18.2509,18.137,20.6624,19.6826,1.17769,1.1559
16,8388608,36.6682,36.8866,40.9718,38.5762,2.3123,2.26138
16,16777216,73.8534,73.6349,83.7218,76.6448,4.5689,4.48965
32,64,0.00943947,0.0181711,0.00910426,0.00910925,0.00907614,0.00866643
32,128,0.0143243,0.013862,0.0144387,0.014088,0.013923,0.0139049
32,256,0.0286828,0.020235,0.0222695,0.0196337,0.0194323,0.0202222
32,512,0.0215759,0.0220544,0.0398855,0.0250711,0.0240351,0.0239966
32,1024,0.0243691,0.0277448,0.0423487,0.0285171,0.0271373,0.0267092
32,2048,0.0296711,0.0328596,0.0424125,0.0337841,0.0304397,0.0301499
32,4096,0.0322071,0.0348126,0.0618632,0.0352858,0.0336673,0.0351713
32,8192,0.0355403,0.0398168,0.0688332,0.0423171,0.0382424,0.0364794
32,16384,0.0512111,0.0476202,0.0826501,0.0532815,0.0452723,0.0415607
32,32768,0.0562086,0.0666433,0.10051,0.0672066,0.0576008,0.0505189
32,65536,0.0821012,0.089511,0.137017,0.102262,0.0694912,0.0726381
32,131072,0.131655,0.164126,0.188241,0.166824,0.108073,0.10436
32,262144,0.240557,0.259269,0.322011,0.302643,0.173755,0.17249
32,524288,0.439414,0.489322,0.578539,0.554093,0.310997,0.318988
32,1048576,0.842929,0.950432,1.07141,1.07822,0.59251,0.593654
32,2097152,1.65606,1.88661,2.05719,2.12015,1.14785,1.15295
32,4194304,3.27384,3.76472,4.03753,4.15342,2.25893,2.27223
32,8388608,6.50448,7.50181,8.04666,7.98991,4.47126,4.50916
32,16777216,13.1239,14.9202,16.0794,15.6816,8.90711,8.96939
64,64,0.00958076,0.019202,0.00963563,0.00939792,0.00894243,0.00897892
64,128,0.0137781,0.0136822,0.0155373,0.0133141,0.0138536,0.0135921
64,256,0.0181258,0.0283395,0.031311,0.0188532,0.0192092,0.018987
64,512,0.0221735,0.0284327,0.0279694,0.0251153,0.0236768,0.0223751
64,1024,0.0248205,0.030426,0.0398844,0.0284693,0.0275555,0.0271978
64,2048,0.029489,0.0366197,0.0469169,0.0308378,0.0339728,0.0514634
64,4096,0.0412918,0.0392371,0.0398918,0.038882,0.0360618,0.0345298
64,8192,0.0538608,0.055481,0.0848287,0.0545561,0.0407511,0.042524
64,16384,0.0736371,0.0864664,0.105992,0.0817549,0.0472476,0.0472627
64,32768,0.153718,0.146201,0.168346,0.139198,0.0617129,0.0651106
64,65536,0.231863,0.266428,0.289069,0.25556,0.0928629,0.0928535
64,131072,0.429511,0.494117,0.538501,0.453248,0.153286,0.152759
64,262144,0.832138,0.901158,0.996856,0.957639,0.272341,0.276393
64,524288,1.5956,1.73534,1.89697,1.71601,0.514815,0.518557
64,1048576,3.1642,3.455,3.75706,3.44385,0.994639,0.996611
64,2097152,6.57205,7.17326,7.74047,7.15822,1.94921,1.95829
64,4194304,13.113,14.3192,14.926,12.8895,3.86396,3.88432
64,8388608,24.6607,26.9829,29.186,26.7307,7.69523,7.7237
64,16777216,46.256,50.7272,54.6837,50.6777,15.3362,15.4133
128,64,0.00949928,0.00923347,0.00941354,0.00932992,0.00899044,0.00896258
128,128,0.0159371,0.0142277,0.0144301,0.0139953,0.0140188,0.0135132
128,256,0.01899,0.0205385,0.0197,0.018948,0.0195051,0.0200573
128,512,0.0232504,0.0225092,0.0299189,0.0311821,0.02462,0.0238683
128,1024,0.0291937,0.0264421,0.0379274,0.0343079,0.0274086,0.028519
128,2048,0.031992,0.0334107,0.0315667,0.0333083,0.0330762,0.0337762
128,4096,0.0412821,0.0427605,0.0774929,0.0438826,0.0363695,0.0372782
128,8192,0.0587334,0.0570063,0.0854365,0.05361,0.0422647,0.0460092
128,16384,0.0738518,0.0892745,0.130866,0.0786371,0.0590211,0.0582892
128,32768,0.125265,0.148913,0.186779,0.128824,0.0876205,0.0862713
128,65536,0.231047,0.243197,0.305802,0.232021,0.143517,0.145361
128,131072,0.433974,0.464366,0.561753,0.443273,0.251123,0.261449
128,262144,0.842512,0.900161,1.0379,0.845479,0.470405,0.476891
128,524288,1.65734,1.77352,1.99733,1.66019,0.914988,0.930679
128,1048576,3.28612,3.52241,3.9376,3.2825,1.79334,1.83107
128,2097152,6.53652,7.01909,7.80011,6.53838,3.55544,3.6167
128,4194304,13.0527,14.0454,15.5229,13.0442,7.10066,7.20753
128,8388608,26.0589,28.0475,30.9758,26.0527,14.2491,14.3496
128,16777216,52.1026,56.0138,61.8872,52.0738,28.2218,28.6907
256,64,0.0102846,0.00905216,0.00910759,0.00958523,0.00933359,0.00915225
256,128,0.0155341,0.0173866,0.0157807,0.0147226,0.0156078,0.0150015
256,256,0.0206731,0.0211799,0.0194392,0.0191768,0.021,0.0182389
256,512,0.0254483,0.0217961,0.0309064,0.0240857,0.0239734,0.0255327
256,1024,0.0285652,0.0277469,0.0430354,0.0253716,0.0276193,0.0278668
256,2048,0.0371558,0.036072,0.0357405,0.0376006,0.0329257,0.0329498
256,4096,0.0560604,0.0553663,0.0852272,0.0500982,0.0412617,0.0413443
256,8192,0.0808448,0.091433,0.118069,0.0823972,0.054443,0.0569916
256,16384,0.145464,0.165414,0.193395,0.145661,0.0873011,0.0835592
256,32768,0.271292,0.284566,0.342065,0.273273,0.137415,0.140804
256,65536,0.521701,0.551589,0.652753,0.530118,0.24401,0.25219
256,131072,1.02216,1.08525,1.23957,1.04228,0.464438,0.472971
256,262144,2.02789,2.14878,2.41417,2.06113,0.894105,0.91636
256,524288,4.03765,4.2828,4.77444,4.10438,1.76893,1.80394
256,1048576,8.11847,8.62421,9.5209,8.20644,3.50512,3.57559
256,2097152,16.2742,17.1664,19.0382,16.3822,6.98261,7.11598
256,4194304,32.3841,34.3375,37.924,32.7566,13.9371,14.2102
256,8388608,92.8153,95.5215,102.971,99.4339,27.8492,28.4649
256,16777216,159.098,167.321,179.598,168.901,55.6597,56.9022
512,64,0.00980413,0.00919117,0.00978534,0.00936858,0.0096144,0.00949194
512,128,0.0139508,0.0197932,0.0136919,0.014475,0.0148413,0.0144994
512,256,0.0191301,0.0175888,0.026862,0.0186421,0.0200017,0.0209447
512,512,0.0234002,0.0237105,0.0389652,0.0237058,0.0247778,0.0233445
512,1024,0.0331304,0.0325271,0.0620664,0.0301493,0.0281794,0.0272682
512,2048,0.0515631,0.0434779,0.0846567,0.0433543,0.0343866,0.035969
512,4096,0.0751558,0.0886429,0.117877,0.0687165,0.0489506,0.0498678
512,8192,0.124413,0.143556,0.171672,0.121916,0.079171,0.0758525
512,16384,0.238143,0.25045,0.316109,0.22946,0.138299,0.128954
512,32768,0.458762,0.478532,0.57112,0.440468,0.236616,0.230541
512,65536,0.893827,0.944163,1.08809,0.863107,0.454827,0.446992
512,131072,1.78478,1.87758,2.12124,1.7275,0.881974,0.861341
