Degree,Iteration,No Vector Time,Implicit Time,Intrinsic Time,Intrinsic aligned,LGA,LGAS
16,64,0.0316039,0.475625,0.0384187,0.0297104,0.028441,0.037458
16,128,0.0464487,0.0508513,0.0531218,0.0472504,0.0535602,0.0544868
16,256,0.0880183,0.0987539,0.0977213,0.090332,0.093591,0.0874934
16,512,0.12216,0.123194,0.143416,0.14428,0.121592,0.13482
16,1024,0.157097,0.16007,0.182403,0.19098,0.172286,0.163651
16,2048,0.185106,0.204067,0.255267,0.205288,0.214549,0.206976
16,4096,0.212478,0.233004,0.26056,0.248537,0.231766,0.223513
16,8192,0.259446,0.237831,0.32492,0.267503,0.265869,0.270473
16,16384,0.311147,0.292647,0.351139,0.340718,0.30084,0.319903
16,32768,0.955544,0.361684,0.74287,0.786996,0.744997,0.750403
16,65536,1.07834,0.471323,0.947674,0.947109,0.744109,0.728869
16,131072,1.48685,1.05339,1.17337,1.28505,0.823872,0.844628
16,262144,2.0756,1.23721,1.51807,1.78338,0.905926,0.901668
16,524288,2.45578,2.28121,4.69746,2.54497,1.1228,1.08232
16,1048576,4.3145,4.55802,6.82085,8.89702,1.56373,1.53639
16,2097152,8.18922,9.25867,12.8992,17.3202,2.60567,2.55112
16,4194304,80.666,74.7297,48.7378,22.0789,4.87851,4.77626
16,8388608,25.6177,24.4199,37.5053,24.2305,7.0736,6.87427
16,16777216,32.6628,31.2951,42.8276,43.5,13.8016,14.4001
32,64,0.356182,0.0395148,0.233537,0.250063,0.24353,0.245799
32,128,0.374173,0.0449876,0.241797,0.256473,0.253597,0.253177
32,256,0.384336,0.0773302,0.276153,0.301703,0.331809,0.273434
32,512,0.419799,0.118785,0.293123,0.29655,0.296753,0.293079
32,1024,0.428216,0.144253,0.326653,0.32166,0.31324,0.316673
32,2048,0.466426,0.16227,0.334731,0.337268,0.328364,0.326343
32,4096,0.460567,0.175292,0.365584,0.359895,0.353513,0.355054
32,8192,0.481527,0.201441,0.368484,0.380245,0.366561,0.364123
32,16384,0.509818,0.231673,0.398239,0.38693,0.391922,0.372047
32,32768,0.526187,0.314517,0.433388,0.43488,0.408428,0.397367
32,65536,0.594784,0.419265,0.487849,0.542793,0.447159,0.438047
32,131072,0.703178,0.596931,0.611363,0.626567,0.520214,0.540124
32,262144,0.938383,0.965901,0.955524,1.0024,0.657117,0.663056
32,524288,1.54896,1.71264,1.71524,1.79503,1.06445,1.12579
32,1048576,2.74228,3.17227,3.26832,3.35149,2.56747,1.92874
32,2097152,5.11015,7.83637,6.96246,6.51384,3.77827,3.59381
32,4194304,10.5498,11.3365,12.0143,12.7605,7.0101,7.05858
32,8388608,22.2243,24.3864,26.9658,26.972,15.4319,15.2886
32,16777216,24.6426,28.6031,28.5407,25.5895,26.2591,25.4742
64,64,0.357759,0.0293356,0.23189,0.245852,0.246144,0.24386
64,128,0.358052,0.0607772,0.243534,0.253777,0.260999,0.253953
64,256,0.388444,0.0730926,0.276244,0.277188,0.27284,0.276585
64,512,0.108449,0.103433,0.116549,0.10723,0.104028,0.104515
64,1024,0.12352,0.132136,0.159136,0.136429,0.132357,0.133323
64,2048,0.155851,0.158778,0.175328,0.16155,0.177209,0.151766
64,4096,0.187644,0.174997,0.197017,0.178289,0.170147,0.182611
64,8192,0.846107,32.2204,0.77735,0.655457,0.656787,0.670545
64,16384,0.943165,0.266512,0.734292,0.731989,0.712731,0.705696
64,32768,1.06713,0.412322,0.830281,0.813414,0.746624,0.746504
64,65536,1.22722,0.585925,1.12615,1.01986,0.848511,0.856366
64,131072,1.55931,1.03284,1.50759,1.31838,1.03429,1.0108
64,262144,2.36996,1.67911,2.17923,2.09718,1.45043,1.60443
64,524288,3.42436,3.89694,4.05917,3.28824,2.1982,2.26169
64,1048576,6.00631,5.84756,6.9178,6.24064,3.90384,3.89392
64,2097152,12.5421,11.4826,14.2307,11.9968,7.07165,6.80657
64,4194304,21.7183,22.7858,24.1741,20.4377,12.577,12.8788
64,8388608,31.4037,23.0675,30.2494,28.2083,26.0124,23.4382
64,16777216,32.8508,43.2481,40.4116,35.5841,23.1537,21.867
128,64,0.366683,0.0262554,0.233092,0.244337,0.243387,0.242917
128,128,0.402134,0.0460398,0.246349,0.251995,0.261563,0.260968
128,256,0.411229,0.0679186,0.284912,0.275523,0.276205,0.276196
128,512,0.427375,0.106534,0.296114,0.297508,0.312313,0.295993
128,1024,0.444405,0.145987,0.324339,0.319029,0.316347,0.314445
128,2048,0.459613,0.16715,0.330437,0.337137,0.334748,0.333169
128,4096,0.466126,0.1846,0.347409,0.340625,0.358082,0.355463
128,8192,0.502608,0.25302,0.39701,0.375645,0.364148,0.380144
128,16384,0.548117,0.341031,0.446894,0.436731,0.401145,0.401227
128,32768,0.67235,0.551141,0.568616,0.548015,0.468275,0.516763
128,65536,0.893784,0.885631,0.888521,0.783213,0.568316,0.607036
128,131072,1.4792,1.66648,1.92976,1.42249,0.851476,0.912798
128,262144,2.65038,3.05219,3.20823,2.96495,1.59672,1.52377
128,524288,2.22399,1.90436,4.10038,3.43032,1.9006,1.90355
128,1048576,6.86646,7.16348,8.21088,6.97321,4.33731,4.13629
128,2097152,14.0795,14.1166,15.9621,13.6008,7.5184,7.50457
128,4194304,21.2447,21.7635,23.0043,22.0816,14.4606,14.7339
128,8388608,31.7241,33.5107,43.269,33.9652,21.9755,22.5984
