Degree,Iteration,No Vector Time,Implicit Time,Intrinsic Time,Intrinsic aligned,LGA,LGAS
16,64,0.0223377,0.0312006,0.0229991,0.0248433,0.0219859,0.0199909
16,128,0.345747,0.0345178,0.238609,0.248658,0.25311,0.244478
16,256,0.354909,0.0683412,0.273393,0.268528,0.267317,0.267165
16,512,0.364801,0.093064,0.286107,0.289196,0.289238,0.28524
16,1024,0.381445,0.136988,0.304646,0.310369,0.305979,0.304836
16,2048,0.403106,0.164886,0.328561,0.32463,0.323097,0.322003
16,4096,0.395585,0.179009,0.351605,0.337745,0.339487,0.330107
16,8192,0.427001,0.197306,0.367576,0.361304,0.349592,0.369843
16,16384,0.205654,0.230451,0.30542,0.259324,0.194373,0.204429
16,32768,0.540862,0.314219,0.482393,0.484847,0.380816,0.379055
16,65536,0.606358,0.488456,0.557848,0.572103,0.397341,0.391176
16,131072,0.781608,1.02715,1.34292,0.866535,0.456328,0.434192
16,262144,1.50591,1.72864,1.61314,1.64231,0.512607,0.509684
16,524288,2.112,3.9253,4.09639,3.01961,0.689985,0.695998
16,1048576,9.01733,5.94705,7.96978,13.8906,1.12803,1.0242
16,2097152,13.048,11.4986,13.9016,11.7705,2.05205,2.01564
16,4194304,24.9657,26.0196,23.9666,23.8368,3.85769,3.76806
16,8388608,30.8757,21.4003,23.0712,29.5514,7.98914,8.81744
16,16777216,35.1339,34.4485,41.0348,38.2273,17.7385,15.0756
32,64,0.326196,0.0274913,0.236533,0.239193,0.245042,0.239472
32,128,0.335672,0.0456205,0.239151,0.252148,0.251405,0.248923
32,256,8.63635,0.063284,0.288412,0.278066,0.265812,0.264355
32,512,0.373169,0.105434,0.286446,0.290218,0.284005,0.287779
32,1024,0.384966,0.139397,0.294057,0.300351,0.310382,0.302798
32,2048,0.397355,0.149477,0.329672,0.321488,0.315532,0.31242
32,4096,0.4186,0.173203,0.343493,0.333514,0.325375,0.334216
32,8192,0.424358,0.179807,0.338056,0.35481,0.348524,0.341056
32,16384,0.450398,0.150869,0.367214,0.371977,0.367018,0.364676
32,32768,0.480679,0.206243,0.420975,0.407226,0.38648,0.389757
32,65536,0.559038,0.262264,0.526251,0.488383,0.418297,0.43369
32,131072,0.681643,0.45576,0.64909,0.682573,0.529162,0.505793
32,262144,0.903079,0.666547,0.865702,0.89935,0.792112,0.650598
32,524288,1.57536,1.40433,1.59607,1.38416,1.0435,0.964141
32,1048576,2.16964,2.54285,2.9174,2.58085,1.78033,1.61689
32,2097152,3.8925,4.91213,5.45671,5.69621,3.20931,3.27804
32,4194304,8.71503,8.51157,8.66216,9.24183,5.34474,5.40493
32,8388608,14.2808,15.9877,20.7567,20.9925,11.8693,15.1889
32,16777216,22.314,23.7968,23.7782,22.8064,63.6427,50.8025
64,64,0.0215541,0.0183709,0.0270592,0.0204251,0.0252005,0.0200023
64,128,0.0265149,0.0302848,0.0329902,0.0249979,0.0275489,0.0249926
64,256,0.388443,0.0669287,0.280543,0.270332,0.272476,0.266787
64,512,0.406708,0.074388,0.283775,0.286071,0.284011,0.289677
64,1024,0.425916,0.0911582,0.298778,0.310056,0.310686,0.302368
64,2048,0.430319,0.107116,0.33583,0.319669,0.316757,0.319651
64,4096,0.447003,0.113367,0.334663,0.330558,0.338199,0.329889
64,8192,0.462119,0.13744,0.353663,0.352462,0.33706,0.337808
64,16384,0.100261,0.0968597,0.107846,0.0893221,0.0832681,0.0841781
64,32768,0.548922,0.251958,0.465914,0.4373,0.415721,0.408044
64,65536,0.668482,0.395847,0.617117,0.553644,0.469146,0.47219
64,131072,0.915855,0.672026,0.88747,0.819199,0.613735,0.595277
64,262144,1.40195,1.20949,1.44552,1.25555,0.861544,0.882894
64,524288,2.24673,2.24775,2.46137,2.09729,1.27702,1.41126
64,1048576,3.83042,4.22295,4.80069,3.64665,2.4553,2.3366
64,2097152,7.68206,8.24562,8.67669,7.39094,4.59625,4.36428
64,4194304,14.0549,15.3682,18.0379,15.3136,8.38137,8.9557
64,8388608,45.3205,21.0242,22.647,22.0952,16.5324,16.6378
64,16777216,38.4994,35.4202,43.0897,38.6095,22.1063,22.0476
128,64,0.324615,0.0270204,0.225752,0.246614,0.235178,0.240435
128,128,0.33813,0.0374134,0.242001,0.253239,0.251356,0.246632
128,256,0.3543,0.0592689,0.270607,0.278286,0.267214,0.275713
128,512,0.360463,0.0726599,0.281703,0.28697,0.290259,0.281237
128,1024,0.381221,0.103844,0.291884,0.308083,0.309635,0.300755
128,2048,0.395201,0.115703,0.321427,0.327804,0.317629,0.322389
128,4096,0.428271,0.145913,0.367522,0.362689,0.337041,0.332662
128,8192,0.503489,0.224101,0.419322,0.428873,0.35301,0.354301
128,16384,0.622543,0.347685,0.552216,0.572492,0.385782,0.38634
128,32768,0.906495,0.606021,0.818472,0.816454,0.454523,0.443755
