Degree,Iteration,OMPTime,VecTime,Auto Vec Time
16,64,38.3246,9.10982,8.70656
16,128,16.4577,5.27168,4.51818
16,256,21.088,5.32433,4.51211
16,512,21.1056,5.38109,4.51225
16,1024,20.2888,5.26741,4.37148
16,2048,20.9267,5.29449,4.3649
16,4096,9.25009,4.39598,4.08278
16,8192,9.06921,4.31187,3.99793
16,16384,115.572,77.9988,18.9297
16,32768,4.6403,4.26681,4.02772
16,65536,8.98191,4.28797,4.00783
16,131072,9.08229,4.38821,4.05677
16,262144,9.25407,4.59134,4.09546
16,524288,9.68646,4.96472,4.23458
16,1048576,10.5929,5.34904,4.8007
16,2097152,12.1433,7.41104,5.45845
16,4194304,15.1246,12.1705,7.43706
16,8388608,36.6126,22.0957,12.1551
16,16777216,25.8161,25.3188,23.5136
32,64,8.94302,4.09908,3.81899
32,128,8.87923,4.0533,3.82741
32,256,7.72701,4.04143,6.84292
32,512,10.4385,4.43518,3.9462
32,1024,8.90044,4.09844,3.89705
32,2048,8.7251,4.09903,3.83817
32,4096,8.75751,4.04378,3.8036
32,8192,8.69914,4.0995,3.84863
32,16384,8.87701,4.10215,3.81834
32,32768,8.85803,4.1729,3.84587
32,65536,8.96023,4.29895,3.90824
32,131072,9.15288,4.49293,4.06384
32,262144,9.29009,4.91313,4.21161
32,524288,10.8227,5.78637,4.59601
32,1048576,11.8064,8.09157,5.29356
32,2097152,14.3785,12.1621,6.80889
32,4194304,18.2071,17.4028,9.62746
32,8388608,24.0911,26.1484,15.5954
32,16777216,32.8549,36.8911,36.5247
64,64,11.931,2.19531,1.80403
64,128,2.70107,1.94294,1.79733
64,256,8.94942,3.91521,3.52718
64,512,8.74029,3.88376,3.53502
64,1024,8.78802,3.88384,3.55818
64,2048,8.70371,3.90643,3.56643
64,4096,8.79529,3.88532,3.64128
64,8192,8.80375,3.96277,3.69686
64,16384,2.48128,1.99206,1.87303
64,32768,3.4757,4.082,3.68458
64,65536,8.9199,4.31454,3.75288
64,131072,9.37953,4.68851,3.91791
64,262144,9.9216,5.65508,4.31925
64,524288,11.7183,7.13169,4.99743
64,1048576,14.7073,11.4371,6.3251
64,2097152,17.0765,21.2878,10.5315
64,4194304,22.7782,24.2593,19.3472
64,8388608,35.4062,34.3565,35.2495
64,16777216,49.56,58.322,69.7929
128,64,8.60287,3.76051,3.58864
128,128,8.41182,3.7853,3.55318
128,256,8.47186,3.784,3.53535
128,512,8.34204,3.81692,3.57004
128,1024,8.52022,3.78935,3.56798
128,2048,8.20757,3.82695,3.66274
128,4096,8.43408,3.82641,3.6969
128,8192,8.4785,3.92458,3.63489
128,16384,8.60164,4.02021,3.66788
128,32768,8.8775,4.20427,3.76012
128,65536,9.17304,4.64352,3.96787
128,131072,9.93338,5.49236,4.27534
128,262144,11.3698,7.17718,4.95144
128,524288,14.3218,10.4511,6.38387
128,1048576,18.0227,17.6801,10.0705
128,2097152,22.5427,24.3299,17.9266
128,4194304,33.7249,47.3493,34.4389
128,8388608,55.9679,63.9045,70.8414
128,16777216,90.8494,112.398,91.7593
256,64,2.42094,2.41408,3.64125
256,128,8.44747,3.74157,3.64569
256,256,8.38889,3.78124,3.62237
256,512,8.5198,3.76198,3.54222
256,1024,8.46979,3.79342,3.62426
256,2048,8.53511,3.85638,3.62264
256,4096,8.52384,3.89122,3.60945
256,8192,8.76285,4.02543,3.70487
256,16384,8.71197,4.19054,3.83553
256,32768,9.16575,4.62108,4.02213
256,65536,9.94891,5.39323,4.31106
256,131072,12.5786,7.05353,4.91887
256,262144,16.1426,12.6003,6.22537
256,524288,18.4273,22.0263,10.2538
256,1048576,27.1466,24.2164,16.4283
256,2097152,40.914,35.715,33.0086
256,4194304,51.331,71.7106,70.0559
256,8388608,102.44,107.553,109.208
256,16777216,179.441,206.29,285.511
512,64,10.2364,3.9333,3.56014
512,128,8.58942,3.78794,3.56782
512,256,8.4943,3.82599,3.66034
512,512,8.34077,3.79032,3.64009
512,1024,8.51916,3.84584,3.64646
512,2048,8.51835,3.90636,3.72978
512,4096,8.52994,4.00737,3.7818
512,8192,8.89783,4.26955,3.82406
512,16384,9.282,4.79582,4.02751
512,32768,9.92924,5.59126,4.35569
512,65536,11.5273,8.145,5.36324
512,131072,14.4336,10.8805,6.50694
512,262144,16.9399,18.1076,10.5208
512,524288,24.0872,24.2154,18.6245
512,1048576,28.9344,36.5742,38.2697
512,2097152,52.1489,65.8103,58.3242
512,4194304,101.251,111.896,119.841
512,8388608,176.329,215.956,218.476
512,16777216,358.966,434.986,410.577
1024,64,2.71406,3.86563,3.64939
1024,128,8.39616,3.77225,3.60713
1024,256,8.3956,3.85128,3.70883
1024,512,8.34682,3.87807,3.6285
1024,1024,8.51126,3.93244,3.62292
1024,2048,8.53854,4.07704,3.70061
1024,4096,8.74871,4.23633,3.74412
1024,8192,9.27883,4.7677,3.92843
1024,16384,10.589,5.98215,4.30734
1024,32768,12.595,8.98277,4.98281
1024,65536,16.3825,13.3617,6.41307
1024,131072,18.6402,20.7964,10.3906
1024,262144,30.9775,25.4596,17.8201
1024,524288,35.3782,117.725,87.3485
1024,1048576,65.651,60.7475,46.9224
1024,2097152,96.7585,115.387,151.327
1024,4194304,184.852,311.233,202.705
1024,8388608,363.22,454.155,385.358
1024,16777216,723.38,881.218,762.683
2048,64,3.06578,2.2034,2.01761
2048,128,6.68326,4.09369,3.91798
2048,256,8.62214,4.04745,3.83409
2048,512,8.53415,4.0812,3.91792
2048,1024,8.63874,4.1823,3.89466
2048,2048,8.75746,4.40404,4.01535
2048,4096,9.06575,4.88966,4.16876
2048,8192,10.0532,5.86811,4.53907
2048,16384,11.6981,15.3598,5.36853
2048,32768,14.6541,11.7775,6.88491
2048,65536,18.1424,19.5388,10.0676
2048,131072,23.0485,23.3675,16.0485
2048,262144,35.0003,36.9636,32.3516
2048,524288,54.0155,68.6523,53.0091
2048,1048576,98.9361,129.551,104.613
2048,2097152,197.718,260.165,228.69
2048,4194304,392.66,517.462,466.596
2048,8388608,784.288,1019.26,838.871
2048,16777216,1585.09,2044.91,1613.09
4096,64,6.67917,2.37926,3.27601
4096,128,9.07433,4.01855,3.67914
4096,256,8.79136,4.09191,3.68063
4096,512,8.63574,4.24141,3.71626
4096,1024,8.86628,4.53748,3.89185
4096,2048,9.20011,5.38853,4.06665
4096,4096,10.2094,6.45307,4.40784
4096,8192,11.3595,8.55275,5.40443
4096,16384,15.7035,12.6845,8.36816
4096,32768,19.0251,23.1155,11.4188
4096,65536,34.5724,24.9426,26.9133
4096,131072,110.233,103.204,37.6479
4096,262144,56.6534,83.3209,75.0705
4096,524288,95.2865,122.559,121.422
