Degree,Iteration,OMPTime,VecTime,Auto Vec Time
16,64,1.57746,0.387407,0.32514
16,128,0.382635,0.301832,0.297574
16,256,0.318953,0.299584,0.306652
16,512,0.31021,0.293168,0.347285
16,1024,0.316758,0.297893,0.297877
16,2048,0.353939,0.309811,0.310302
16,4096,0.367189,0.335517,0.338241
16,8192,0.426619,0.385682,0.393885
16,16384,0.539715,0.493343,0.504369
16,32768,0.777311,0.687178,0.736324
16,65536,1.23738,1.12265,1.16591
16,131072,2.12535,1.92528,1.97864
16,262144,3.83126,3.53601,3.59137
16,524288,7.26276,6.95366,6.77285
16,1048576,14.2015,13.0553,13.1667
16,2097152,27.9046,25.7132,25.9931
16,4194304,55.404,51.1729,51.5887
16,8388608,110.422,102.124,102.809
16,16777216,220.486,203.587,205.323
32,64,0.324409,0.268592,0.266423
32,128,0.296482,0.292582,0.269487
32,256,0.291271,0.276103,0.270311
32,512,0.292553,0.310127,0.293218
32,1024,0.321881,0.29014,0.287005
32,2048,0.341098,0.31776,0.33278
32,4096,0.389871,0.370167,0.359084
32,8192,0.484267,0.470225,0.459674
32,16384,0.701082,0.665774,0.646224
32,32768,1.21087,1.15423,1.08285
32,65536,1.90457,1.89288,1.7804
32,131072,3.51163,3.47506,3.27734
32,262144,6.69084,6.76059,6.22872
32,524288,13.0502,13.1128,12.1351
32,1048576,25.7433,26.1855,23.9561
32,2097152,51.1557,57.9165,51.4326
32,4194304,101.955,103.72,95.0157
32,8388608,203.607,207.752,189.685
32,16777216,411.773,467.077,407.713
64,64,0.322336,0.280587,0.268491
64,128,0.304322,0.294833,0.28488
64,256,0.318369,0.320494,0.300672
64,512,0.33365,0.309204,0.303226
64,1024,0.334425,0.326361,0.312002
64,2048,0.383489,0.371555,0.360183
64,4096,0.490847,0.497191,0.456335
64,8192,0.67505,0.672323,0.667652
64,16384,1.09818,1.09661,1.05162
64,32768,1.90423,1.84896,1.75385
64,65536,3.43437,3.53088,3.12124
64,131072,6.42887,6.59769,5.92512
64,262144,12.5233,13.0149,11.5549
64,524288,24.6861,25.5072,22.7192
64,1048576,49.06,50.6392,45.154
64,2097152,98.4959,105.806,91.9687
64,4194304,196.574,210.55,183.498
64,8388608,389.942,412.26,359.463
64,16777216,779.524,841.279,716.146
128,64,0.432228,0.291724,0.285134
128,128,0.370088,0.284991,0.283249
128,256,0.348633,0.301563,0.308762
128,512,0.37552,0.321257,0.307978
128,1024,0.442676,0.390761,0.369898
128,2048,0.512755,0.476103,0.43579
128,4096,0.710448,0.663909,0.617806
128,8192,1.10738,1.09799,0.959743
128,16384,1.85367,1.87692,1.62387
128,32768,3.33762,3.56499,3.02728
128,65536,6.35372,6.5988,5.47875
128,131072,12.2817,12.9623,10.8184
