Degree,Iteration,OMPTime,VecTime
16,64,0.0692914,0.0748961
16,128,0.145507,0.138451
16,256,0.152549,0.155931
16,512,0.161996,0.163358
16,1024,0.111204,0.114625
16,2048,0.11923,0.123081
16,4096,0.129592,0.132009
16,8192,0.158982,0.145427
16,16384,0.213919,0.196423
16,32768,0.314489,0.234393
16,65536,0.529308,0.385256
16,131072,0.98986,0.709279
16,262144,1.72713,0.984572
16,524288,3.23563,1.82569
16,1048576,6.50112,5.50529
16,2097152,12.9233,11.0417
16,4194304,27.6346,22.3996
16,8388608,51.5611,42.3118
16,16777216,125.578,89.286
32,64,0.0149941,0.0229382
32,128,0.0233207,0.0405393
32,256,0.0351547,0.0390566
32,512,0.0434749,0.0468387
32,1024,0.0517825,0.0539136
32,2048,0.0605188,0.065063
32,4096,0.0756688,0.0767226
32,8192,0.106944,0.0828347
32,16384,0.171432,0.089738
32,32768,0.297662,0.101651
32,65536,0.542646,0.130208
32,131072,1.04344,0.177261
32,262144,2.03962,0.258017
32,524288,4.13305,0.434175
32,1048576,8.1765,0.773337
32,2097152,16.5958,1.46439
32,4194304,32.4827,2.80936
32,8388608,66.4222,5.5316
32,16777216,131.24,10.9919
64,64,0.0157718,0.0233196
64,128,0.0221687,0.0389737
64,256,0.0326724,0.0315397
64,512,0.0410867,0.044306
64,1024,0.0499454,0.0538473
64,2048,0.055813,0.0645007
64,4096,0.0657264,0.0732933
64,8192,0.0702194,0.0797113
64,16384,0.0999008,0.0961501
64,32768,0.108211,0.117551
64,65536,0.155947,0.163886
64,131072,0.232982,0.254188
64,262144,0.465493,0.419411
64,524288,0.74485,0.747871
64,1048576,1.39387,1.45819
64,2097152,2.70398,2.77618
64,4194304,9.15988,5.38299
64,8388608,10.6208,10.9174
64,16777216,21.1446,21.7981
128,64,0.0139283,0.0237877
128,128,0.0220516,0.0465558
128,256,0.0325161,0.0407954
128,512,0.0462582,0.043822
128,1024,0.0515512,0.0546993
128,2048,0.0566783,0.0633109
128,4096,0.0634276,0.0690749
128,8192,0.0793341,0.11067
128,16384,0.104682,0.107557
128,32768,0.147395,0.148738
128,65536,0.239917,0.228058
128,131072,0.410898,0.388397
128,262144,0.751707,0.712891
128,524288,1.44332,1.36506
128,1048576,2.81301,2.70318
128,2097152,5.65078,5.42459
128,4194304,11.0769,10.7017
128,8388608,21.9934,20.9841
128,16777216,210.874,44.407
256,64,0.0134843,0.0276934
256,128,0.022552,0.0315058
256,256,0.035103,0.0415974
256,512,0.0408879,0.0432403
256,1024,0.055718,0.0569097
256,2048,0.0809002,0.0790564
256,4096,0.140645,0.125974
256,8192,0.239834,0.217669
256,16384,0.443548,0.399394
256,32768,0.848287,0.7559
256,65536,1.69529,1.48838
256,131072,3.3825,2.95997
256,262144,6.71394,5.87978
256,524288,13.1496,11.5479
256,1048576,26.772,23.5146
256,2097152,53.3626,47.1512
256,4194304,123.427,96.3633
256,8388608,243.393,191.167
256,16777216,263.931,101.204
512,64,0.0152149,0.026984
512,128,0.0270197,0.0419282
512,256,0.0422112,0.0464464
512,512,0.0667741,0.0566218
512,1024,0.109243,0.0873614
512,2048,0.198395,0.152496
512,4096,0.368232,0.299419
512,8192,0.724907,0.563569
512,16384,1.4354,1.08496
512,32768,2.83708,2.14063
512,65536,5.60215,4.35963
512,131072,11.2193,8.58489
512,262144,22.3197,17.2685
512,524288,46.5471,35.5357
