Degree,Iteration,OMPTime,VecTime
512,1048576,91.8631,70.6125
512,2097152,163.567,105.623
512,4194304,370.912,258.694
512,8388608,706.627,362.675
512,16777216,1974.89,1442.39
1024,64,0.0193272,0.0489985
1024,128,0.0289405,0.0349884
1024,256,0.049789,0.0499398
1024,512,0.0872305,0.0875833
1024,1024,0.160523,0.170394
1024,2048,0.310026,0.317199
1024,4096,0.608354,0.640198
1024,8192,1.21418,1.25072
1024,16384,2.3806,2.45923
1024,32768,4.75336,4.98667
1024,65536,9.46686,10.0612
1024,131072,19.0493,19.8127
1024,262144,41.2997,37.2313
1024,524288,82.185,74.9377
1024,1048576,156.342,129.1
1024,2097152,306.152,264.617
1024,4194304,590.531,508.274
1024,8388608,1246.83,1082.17
1024,16777216,2650.1,2573.64
2048,64,0.0328846,0.0285873
2048,128,0.056153,0.0486187
2048,256,0.104131,0.0835195
2048,512,0.190552,0.152725
2048,1024,0.365358,0.294775
2048,2048,0.727109,0.569917
2048,4096,1.43571,1.11659
2048,8192,2.84635,2.22565
2048,16384,5.67823,4.46118
2048,32768,11.3652,8.8721
2048,65536,22.699,17.6599
2048,131072,48.1892,37.3749
2048,262144,96.3064,74.9567
2048,524288,184.337,142.274
2048,1048576,364.339,284.805
2048,2097152,755.724,591.12
2048,4194304,1598.54,1160.03
2048,8388608,2999.17,2297.08
2048,16777216,5809.65,4537.64
4096,64,0.0630448,0.0501067
4096,128,0.1107,0.0907213
4096,256,0.2119,0.167599
4096,512,0.398265,0.319565
4096,1024,0.779344,0.623556
4096,2048,1.53385,1.2296
4096,4096,3.05936,2.43169
4096,8192,6.05104,4.86026
4096,16384,11.832,9.32943
4096,32768,23.639,18.595
4096,65536,47.1512,37.2379
4096,131072,94.5823,74.3698
4096,262144,199.779,155.183
4096,524288,395.877,312.523
4096,1048576,784.938,619.618
4096,2097152,1547,1194.6
4096,4194304,3105.22,2367.59
4096,8388608,6078,4701.25
4096,16777216,12612.4,9963.72
8192,64,0.117391,0.091854
8192,128,0.216336,0.169711
8192,256,0.41257,0.321632
8192,512,0.803315,0.627008
8192,1024,1.5624,1.23081
8192,2048,3.11765,2.44054
8192,4096,6.21957,4.86045
8192,8192,12.3776,9.68331
8192,16384,24.7597,19.3407
8192,32768,48.2721,38.239
8192,65536,96.504,76.374
8192,131072,192.812,152.834
8192,262144,393.464,304.457
8192,524288,782.53,616.087
8192,1048576,1576.23,1230.83
8192,2097152,3137.49,2444.29
8192,4194304,6424.41,4951.6
8192,8388608,12643.6,9727.85
8192,16777216,25047.2,19363.2
16384,64,0.224688,0.176276
16384,128,0.410389,0.319064
16384,256,0.75881,0.611684
16384,512,1.47322,1.17852
16384,1024,2.86889,2.33974
16384,2048,5.68641,4.59228
16384,4096,11.3172,9.15559
16384,8192,22.6155,18.2668
16384,16384,45.102,36.4529
16384,32768,91.165,74.2994
16384,65536,182.583,148.445
16384,131072,361.671,296.76
16384,262144,725.205,592.618
16384,524288,1473.06,1188.51
16384,1048576,2906.76,2346.76
16384,2097152,5811.12,4705.78
16384,4194304,11699.4,9508.2
16384,8388608,23181.7,18662
16384,16777216,47110.3,38142.6
32768,64,0.344723,0.288678
32768,128,0.639362,0.527085
32768,256,1.19522,1.02083
32768,512,2.31083,1.94645
32768,1024,4.6897,3.81108
32768,2048,8.91224,7.53651
32768,4096,17.7105,14.9901
32768,8192,34.9861,29.6412
32768,16384,70.0732,59.2984
32768,32768,139.949,118.222
32768,65536,284.438,237.559
32768,131072,570.525,476.649
32768,262144,1145.95,957.671
32768,524288,2272.81,1902.25
32768,1048576,4508.64,3777.71
32768,2097152,9034.23,7596.72
32768,4194304,18137.2,15211.1
32768,8388608,34597.5,25372.2
32768,16777216,57686,47056.9
65536,64,0.422148,0.417788
65536,128,0.803901,0.726459
65536,256,1.40763,1.3171
65536,512,2.78837,2.4988
65536,1024,5.36616,4.86297
65536,2048,10.7126,9.55376
65536,4096,21.7337,19.06
65536,8192,43.4881,37.9768
65536,16384,87.4405,75.4415
65536,32768,179.708,151.969
65536,65536,357.922,301.527
65536,131072,718.665,601.967
65536,262144,1426.6,1201.81
65536,524288,2851.03,2378.06
65536,1048576,5774.43,4880.96
65536,2097152,11572.9,9639.85
65536,4194304,22681.7,18995.2
65536,8388608,49128.4,41271.6
65536,16777216,95530.2,78062.7
