Degree,Iteration,OMPTime,VecTime,Auto Vec Time
16,64,346.807,207.504,227.288
16,128,154.957,226.13,248.437
16,256,188.965,227.287,226.436
16,512,216.691,234.728,226.53
16,1024,219.219,226.303,226.008
16,2048,224.695,226.979,227.566
16,4096,218.689,241.171,220.507
16,8192,236.069,230.438,231.307
16,16384,221.981,231.278,228.962
16,32768,221.147,230.986,229.149
16,65536,221.394,231.569,228.364
16,131072,238.257,226.227,231.716
16,262144,224.944,232.991,229.178
16,524288,226.117,233.322,228.859
16,1048576,224.33,282.187,245.615
16,2097152,224.595,234.395,233.191
16,4194304,229.62,235.424,230.083
16,8388608,232.573,242.849,232.722
16,16777216,243.252,241.76,243.524
32,64,219.689,229.411,229.719
32,128,235.579,230.252,230.227
32,256,221.346,230.166,229.851
32,512,221.186,236.199,231.381
32,1024,223.897,230.181,230.659
32,2048,221.468,235.078,235.332
32,4096,222.103,230.877,230.736
32,8192,226.878,231.834,231.019
32,16384,224.468,232.33,230.269
32,32768,270.753,239.29,230.607
32,65536,224.982,233.45,233.063
32,131072,225.668,234.493,230.827
32,262144,225.216,235.224,230.38
32,524288,225.532,235.981,230.55
32,1048576,227.525,249.756,232.445
32,2097152,234.408,237.534,233.196
32,4194304,234.701,238.658,235.371
32,8388608,246.732,240.846,238.863
32,16777216,266.961,255.163,244.783
64,64,228.245,232.761,230.659
64,128,221.729,231.089,230.264
64,256,223.348,236.126,230.269
64,512,222.425,230.982,230.282
64,1024,221.816,229.752,260.616
64,2048,223.273,232.422,231.513
64,4096,223.063,231.884,231.679
64,8192,223.128,233.077,230.382
64,16384,224.984,242.318,230.731
64,32768,231.387,229.44,231.08
64,65536,224.493,232.698,232.462
64,131072,224.678,232.999,229.778
64,262144,231.56,239.651,231.146
64,524288,225.988,234.868,231.499
64,1048576,228.902,235.737,232.45
64,2097152,232.656,237.742,233.794
64,4194304,243.862,241.586,237.287
64,8388608,261.379,249.014,245.11
64,16777216,293.701,264.728,260.311
128,64,221.742,234.765,231.545
128,128,222.189,231.635,231.881
128,256,228.946,230.649,229.686
128,512,220.73,235.689,229.96
128,1024,222.354,229.439,230.42
128,2048,221.768,230.868,235.174
128,4096,222.216,239.249,232.236
128,8192,224.918,234.159,230.952
128,16384,223.589,232.967,230.465
128,32768,223.146,231.882,229.4
128,65536,227.686,233.386,230.734
128,131072,224.304,233.528,230.937
128,262144,227.915,235.28,230.461
128,524288,231.762,234.53,230.712
128,1048576,232.631,236.8,232.955
128,2097152,239.631,241.739,237.228
128,4194304,256.523,248.433,244.208
128,8388608,292.837,262.646,258.978
128,16777216,363.107,294.45,291.312
256,64,220.775,228.899,229.521
256,128,220.379,229.928,229.122
256,256,222.785,233.627,229.223
256,512,219.805,229.123,229.772
256,1024,221.286,229.958,229.424
256,2048,222.004,229.532,229.946
256,4096,221.711,233.701,229.899
256,8192,222.514,231.78,231.433
256,16384,222.708,231.672,229.264
256,32768,223.893,233.619,231.931
256,65536,231.196,232.778,230.155
256,131072,224.97,235.26,235.982
256,262144,227.569,233.367,233.452
256,524288,231.526,236.979,251.127
256,1048576,238.179,239.787,237.218
256,2097152,256.042,247.334,244.696
256,4194304,288.429,264.545,259.022
256,8388608,357.556,297.148,289.029
256,16777216,487.696,360.502,349.116
512,64,224.237,232.088,231.058
512,128,221.101,229.672,228.582
512,256,226.747,229.718,233.087
512,512,220.393,228.565,229.06
512,1024,221.481,229.366,228.666
512,2048,221.038,229.55,228.515
512,4096,224.294,230.839,228.443
512,8192,222.139,231.323,228.879
512,16384,223.126,232.267,230.365
512,32768,222.905,231.527,230.123
512,65536,223.813,232.323,230.838
512,131072,229.052,235.771,231.705
512,262144,230.003,234.766,233.285
512,524288,238.94,239.97,237.598
512,1048576,255.211,248.966,245.214
512,2097152,294.17,264.733,262.407
512,4194304,354.749,298.775,293.932
512,8388608,486.478,366.45,359.319
512,16777216,753.988,498.997,480.821
1024,64,226.555,231.813,230.967
1024,128,221.731,231.631,235.244
1024,256,221.473,230.262,229.678
1024,512,220.315,229.408,230.133
1024,1024,220.617,229.663,229.441
1024,2048,221.363,231.276,231.958
1024,4096,222.29,231.357,229.943
1024,8192,221.687,231.4,230.452
1024,16384,222.984,231.39,230.433
1024,32768,222.686,234.089,230.662
1024,65536,225.219,233.232,243.746
1024,131072,232.02,235.199,234.578
1024,262144,239.832,241.396,239.969
1024,524288,255.349,250.349,248.392
1024,1048576,287.795,275.273,267.699
1024,2097152,358.475,309.785,306.198
1024,4194304,490.822,389.505,381.834
1024,8388608,759.638,548.065,533.937
1024,16777216,1298.38,875.929,862.142
2048,64,221.292,229.151,228.811
2048,128,219.972,228.579,229.942
2048,256,220.441,232.659,228.865
2048,512,220.186,228.742,230.471
2048,1024,226.511,228.899,230.009
2048,2048,222.661,230.791,229.168
2048,4096,221.006,229.679,229.038
2048,8192,221.59,231.168,229.462
2048,16384,222.245,230.312,230.831
2048,32768,224.993,232.841,231.441
2048,65536,228.801,235.812,236.021
2048,131072,237.587,241.648,242.38
2048,262144,254.367,253.683,250.883
2048,524288,287.652,277.194,273.179
2048,1048576,356.428,322.353,317.736
2048,2097152,496.885,417.11,407.175
2048,4194304,762.211,610.608,580.302
2048,8388608,1311.31,974.984,948.805
2048,16777216,2389.54,1701.97,1638.1
4096,64,219.199,228.263,227.776
4096,128,226.769,231.669,228.287
4096,256,219.552,230.5,227.987
4096,512,220.013,227.694,228.188
4096,1024,220.731,228.255,227.909
4096,2048,220.35,228.093,227.998
4096,4096,221.14,229.427,228.966
4096,8192,222.825,229.496,229.186
4096,16384,225.885,231.295,230.579
4096,32768,229.576,233.55,232.944
4096,65536,240.118,240.374,237.639
4096,131072,255.732,253.822,250.021
4096,262144,290.596,278.068,271.42
4096,524288,361.145,327.482,308.796
4096,1048576,503.897,422.285,391.063
4096,2097152,788.398,616.939,551.547
4096,4194304,1359.42,1002.24,885.851
4096,8388608,2484.81,1775.59,1487.78
4096,16777216,4779.31,3273.62,3148.48
8192,64,218.498,230.273,229.514
8192,128,224.131,232.513,229.445
8192,256,221.392,231.637,229.935
8192,512,220.979,230.308,229.815
8192,1024,222.714,230.58,229.686
8192,2048,226.44,230.592,231.792
8192,4096,227.275,231.66,232.238
8192,8192,232.931,233.457,235.202
8192,16384,245.14,239.741,238.302
8192,32768,266.808,241.23,240.499
8192,65536,319.955,256.212,251.755
8192,131072,401.265,281.861,273.485
8192,262144,609.428,335.662,329.913
8192,524288,1056.96,443.461,412.478
8192,1048576,1547.83,649.015,588.909
8192,2097152,2954.72,1085.91,957.258
8192,4194304,5760.04,1915.7,1668.43
8192,8388608,11600.9,3672.04,3146.81
8192,16777216,24859.5,7019.89,5766.13
16384,64,219.904,228.029,230.446
16384,128,220.549,228.928,230.002
16384,256,220.932,229.016,228.78
16384,512,221.82,229.57,229.297
16384,1024,226.826,233.123,232.913
16384,2048,231.229,234.027,235.905
16384,4096,247.196,239.865,241.704
16384,8192,270.791,251.834,255.992
16384,16384,325.81,271.035,279.123
16384,32768,429.536,310.937,317.903
16384,65536,636.957,395.293,413.36
16384,131072,1100.15,621.877,630.888
16384,262144,1932.7,893.734,923.111
16384,524288,3631.25,1613.56,1602.9
16384,1048576,7042.83,2785.88,2902.98
16384,2097152,13870.1,5897.78,5882.6
16384,4194304,27237.8,11299.9,11761.4
16384,8388608,52806,21267.3,22070.2
16384,16777216,109974,44407.5,45421.9
32768,64,219.303,230.769,230.293
32768,128,220.365,230.789,230.421
32768,256,220.183,231.164,230.066
32768,512,222.726,231.955,231.812
32768,1024,232.706,237.041,237.032
32768,2048,249.206,252.428,249.131
32768,4096,271.973,262.618,265.065
32768,8192,329.83,302.496,303.989
32768,16384,445.503,379.828,380.455
32768,32768,666.661,525.212,534.667
32768,65536,1140.48,840.189,855.357
32768,131072,2008.9,1400.07,1415.33
32768,262144,3782.09,2585.24,2632.03
32768,524288,7481.04,5070.04,5215.01
32768,1048576,14412.6,9529.02,9802.19
32768,2097152,29430.5,20021.7,20116.1
32768,4194304,58851.3,38962.2,39282.4
32768,8388608,116999,77839.4,79173.9
32768,16777216,233128,158683,159937
65536,64,213.302,233.933,230.686
65536,128,217.552,231.001,229.805
65536,256,220.644,234.58,233.268
65536,512,226.786,236.679,237.006
65536,1024,244.416,248.784,248.167
65536,2048,268.484,266.302,266.625
65536,4096,328.686,306.166,308.712
65536,8192,441.256,383.059,390.628
65536,16384,673.656,537.628,542.638
65536,32768,1129.42,849.182,860.629
65536,65536,2039.62,1486.67,1511.93
65536,131072,3863.03,2695.77,2745.36
65536,262144,7464.79,5202.99,5324.94
65536,524288,14857.1,10220.4,10326.9
65536,1048576,29451.2,20189.3,20712
65536,2097152,58706.1,40172.4,41010.4
65536,4194304,116657,80553,81135.4
65536,8388608,235688,163760,165455
65536,16777216,471350,327772,331323
