Degree,Iteration,OMPTime,VecTime,Auto Vec Time
16,64,120.9,50.2718,51.0494
16,128,48.1242,5.52651,5.57975
16,256,5.65942,4.91169,4.97167
16,512,5.85465,5.40535,5.25698
16,1024,5.43224,5.29951,4.9556
16,2048,5.65897,5.55957,5.16266
16,4096,5.54612,5.56025,5.11944
16,8192,6.09323,6.16349,5.3934
16,16384,5.82959,5.94153,5.22394
16,32768,6.26403,6.08499,5.48566
16,65536,6.51787,6.11791,5.35829
16,131072,6.53033,6.56146,5.49998
16,262144,6.52692,6.43007,5.51899
16,524288,6.98196,6.50163,5.66244
16,1048576,8.4985,7.07878,6.53852
16,2097152,10.5284,7.56623,6.94163
16,4194304,14.8191,8.87696,8.90195
16,8388608,23.6752,11.4065,12.9909
16,16777216,40.8254,16.8362,25.0046
32,64,30.7078,6.63581,5.52835
32,128,5.39906,5.64989,5.39042
32,256,5.56446,5.5381,5.36834
32,512,5.69947,5.711,5.39582
32,1024,5.85798,5.73978,5.42532
32,2048,5.87757,6.00471,5.67785
32,4096,5.91435,5.96155,5.54986
32,8192,6.08411,6.04549,5.44776
32,16384,6.10292,6.26925,5.62005
32,32768,6.16295,6.28311,5.38627
32,65536,6.25099,6.19724,5.61606
32,131072,6.54937,6.26635,5.50223
32,262144,7.17452,6.59705,5.43883
32,524288,8.15625,6.67642,5.78803
32,1048576,10.497,7.44388,6.46641
32,2097152,15.2476,8.98989,7.59198
32,4194304,24.3166,11.1057,9.4734
32,8388608,42.7385,16.5789,14.0211
32,16777216,79.5476,27.0565,22.0631
64,64,5.27663,5.37359,5.2443
64,128,5.39148,5.25588,5.31869
64,256,5.30111,5.29148,5.40789
64,512,5.44472,5.53005,5.35735
64,1024,5.4954,5.56274,5.32619
64,2048,5.68244,5.73759,5.29732
64,4096,5.68896,5.74434,5.40258
64,8192,5.87591,5.82045,5.13401
64,16384,5.88666,6.0614,5.36082
64,32768,6.07143,6.05789,5.40239
64,65536,6.40545,6.00668,5.46788
64,131072,7.38312,6.27649,5.47968
64,262144,8.25073,6.73295,5.75469
64,524288,10.3289,7.56839,6.16481
64,1048576,14.5455,8.73192,7.33056
64,2097152,23.4095,11.7414,9.28512
64,4194304,43.0519,16.7445,13.2348
64,8388608,75.7546,26.9465,21.242
64,16777216,146.241,47.4555,44.503
128,64,5.48023,5.60705,5.44127
128,128,5.53464,5.56697,5.51192
128,256,5.89547,5.60866,5.45592
128,512,5.7123,5.7151,5.48636
128,1024,5.80615,5.84238,5.4685
128,2048,5.86395,5.91511,25.2118
128,4096,14.3918,5.99891,5.54243
128,8192,6.02151,6.082,5.54338
128,16384,6.02668,5.94842,5.49549
128,32768,6.68674,5.86411,5.34476
128,65536,6.66691,6.42803,5.6111
128,131072,8.19596,6.74351,5.84327
128,262144,10.0873,7.4112,6.52961
128,524288,14.4571,8.51936,7.48705
128,1048576,22.7258,11.327,9.35782
128,2097152,40.1216,16.4217,13.3706
128,4194304,74.3808,26.9671,20.8153
128,8388608,142.675,47.5421,37.0157
128,16777216,278.754,89.1465,66.1539
256,64,5.13132,5.1548,5.08275
256,128,5.15094,5.10244,5.1422
256,256,5.2325,5.20472,5.14324
256,512,5.27448,5.34566,5.08444
256,1024,5.47734,5.32311,5.07902
256,2048,5.44379,5.49622,5.07653
256,4096,5.57353,5.55388,5.08515
256,8192,5.63118,5.71311,5.47573
256,16384,6.12696,6.12558,5.76942
