Degree,Iteration,OMPTime,VecTime,Auto Vec Time
16,64,217.102,130.357,131.024
16,128,115.019,131.911,132.891
16,256,134.165,168.925,180.022
16,512,133.934,132.658,133.407
16,1024,134.325,133.366,137.354
16,2048,133.122,132.412,131.426
16,4096,135.648,133.474,133.103
16,8192,133.843,133.92,132.846
16,16384,133.278,134.369,131.77
16,32768,141.647,134.419,132.635
16,65536,137.352,137.133,136.053
16,131072,136.04,136.858,153.449
16,262144,136.805,136.179,134.707
16,524288,137.797,136.8,134.698
16,1048576,136.328,136.675,133.72
16,2097152,146.709,138.184,176.323
16,4194304,141.759,137.142,135.4
16,8388608,148.374,139.9,137.956
16,16777216,154.751,143.641,142.025
32,64,135.878,138.499,134.931
32,128,136.33,134.761,135.253
32,256,136.591,135.681,135.399
32,512,135.847,136.444,135.876
32,1024,137.064,137.04,135.864
32,2048,136.141,135.891,135.995
32,4096,136.162,135.809,135.697
32,8192,135.557,134.951,133.144
32,16384,134.657,134.883,133.192
32,32768,137.425,136.73,137.304
32,65536,136.601,135.412,133.854
32,131072,136.246,136.702,134.223
32,262144,138.498,137.622,136.76
32,524288,139.128,138.014,135.696
32,1048576,139.904,156.179,136.398
32,2097152,141.671,141.69,136.752
32,4194304,146.095,140.095,138.349
32,8388608,187.296,183.881,153.804
32,16777216,177.41,153.98,149.693
64,64,135.504,134.083,134.799
64,128,158.417,146.826,134.251
64,256,135.228,135.696,135.031
64,512,135.286,134.569,135.623
64,1024,137.222,133.541,133.91
64,2048,135.301,134.225,133.306
64,4096,135.337,135.148,134.232
64,8192,137.113,135.799,134.237
64,16384,140.902,135.671,133.76
64,32768,137.553,137.455,134.484
64,65536,137.136,138.208,135.332
64,131072,138.518,137.193,136.384
64,262144,137.885,137.683,135.894
64,524288,138.813,137.501,136.004
64,1048576,141.671,138.024,135.881
64,2097152,146.975,144.325,135.239
64,4194304,153.752,144.018,159.958
64,8388608,171.953,151.233,148.831
64,16777216,215.397,188.387,173.978
128,64,136.187,133.853,134.2
128,128,134.543,134.746,133.923
128,256,134.555,135.359,141.208
128,512,133.014,131.637,133.622
128,1024,133.19,132.633,133.866
128,2048,133.535,133.248,131.912
128,4096,134.746,133.076,135.431
128,8192,135.853,134.607,133.904
128,16384,137.161,136.826,133.48
128,32768,137.551,136.534,134.006
128,65536,137.238,137.063,134.347
128,131072,137.888,137.826,136.725
128,262144,139.198,137.866,137.334
128,524288,141.539,138.631,135.797
128,1048576,146.034,140.45,138.76
128,2097152,154.59,145.079,142.439
128,4194304,172.655,153.249,149.258
128,8388608,207.015,170.483,160.045
128,16777216,276.897,198.186,189.235
256,64,136.983,133.683,133.307
256,128,134.496,133.274,133.532
256,256,134.379,134.411,134.077
256,512,133.88,134.343,133.167
256,1024,134.376,133.844,134.008
256,2048,135.484,133.831,134.169
256,4096,135.367,135.113,133.509
256,8192,137.289,136.305,134.279
256,16384,137.735,136.505,135.034
256,32768,137.118,136.292,135.002
256,65536,137.178,138.183,132.818
256,131072,136.341,135.733,134.277
256,262144,138.78,136.901,136.334
256,524288,143.879,138.426,138.17
256,1048576,153.244,142.814,141.529
256,2097152,169.386,152.558,148.815
256,4194304,204.311,169.112,161.769
256,8388608,273.521,203.588,188.699
256,16777216,415.421,271.716,248.809
512,64,135.474,133.859,133.848
512,128,135.218,135.04,137.252
512,256,134.982,135.358,134.037
512,512,135.313,134.614,134.846
512,1024,135.287,134.63,134.761
512,2048,135.445,134.767,134.47
512,4096,136.609,135.292,134.484
512,8192,137.201,135.66,134.951
512,16384,143.613,140.878,134.108
512,32768,137.678,137.662,135.172
512,65536,139.087,137.463,136.01
512,131072,140.455,137.966,136.73
512,262144,145.204,140.411,138.871
512,524288,153.916,144.581,142.258
512,1048576,170.804,151.767,150.182
512,2097152,205.763,170.815,164.396
512,4194304,274.444,203.305,223.326
512,8388608,410.779,267.539,248.644
512,16777216,689.538,404.937,370.698
1024,64,134.788,135.413,134.143
1024,128,135.116,134.436,134.934
1024,256,135.674,134.077,135.365
1024,512,135.06,134.333,134.46
1024,1024,136.618,134.435,134.855
1024,2048,136.363,135.035,134.324
1024,4096,135.711,136.594,134.642
1024,8192,136.658,136.832,134.645
1024,16384,136.756,136.305,136.316
1024,32768,136.594,139.81,141.802
1024,65536,144.053,141.748,137.415
1024,131072,145.263,141.398,139.149
1024,262144,153.99,146.19,144.182
1024,524288,171.53,155.339,152.893
1024,1048576,208.09,175.924,170.139
1024,2097152,280.228,212.864,201.636
1024,4194304,427.547,292.934,269.189
1024,8388608,715.235,444.754,397.695
1024,16777216,1302.87,758.951,660.509
2048,64,135.649,135.481,135.12
2048,128,135.486,135.169,134.552
2048,256,135.814,134.913,135.672
2048,512,136.213,134.247,135.621
2048,1024,136.037,135.203,134.42
2048,2048,135.735,135.612,134.785
2048,4096,137.135,141.172,135.687
2048,8192,137.366,136.603,135.94
2048,16384,136.606,136.433,135.119
2048,32768,140.512,138.037,136.447
2048,65536,145.185,141.436,139.93
2048,131072,155.133,146.768,144.842
2048,262144,170.857,158.37,154.41
2048,524288,208.723,182.5,176.397
2048,1048576,282.251,229.562,217.667
2048,2097152,429.084,327.636,301.94
2048,4194304,724.269,522.183,472.032
2048,8388608,1311.98,902.293,813.936
2048,16777216,2484.04,1641.61,1466.54
4096,64,133.608,134.152,133.667
4096,128,134.332,134.477,133.773
4096,256,134.295,133.254,134.045
4096,512,134.277,133.451,133.87
4096,1024,134.945,133.395,133.4
4096,2048,135.66,133.41,133.858
4096,4096,136.044,134.02,133.926
4096,8192,136.11,135.784,134.316
4096,16384,138.279,136.441,135.421
4096,32768,142.358,138.456,138.375
4096,65536,150.33,144.435,143.153
4096,131072,170.4,156.684,152.359
4096,262144,212.323,180.789,171.843
4096,524288,278.373,229.298,210.311
4096,1048576,427.388,326.213,288.875
4096,2097152,720.599,520.039,443.578
4096,4194304,1309.29,913.57,762.246
4096,8388608,2483.48,1690.44,1401.66
4096,16777216,4855.55,3252.05,2569.15
8192,64,138.027,144.423,137.502
8192,128,137.717,135.916,134.435
8192,256,137.309,135.752,137.02
8192,512,140.513,137.164,137.603
8192,1024,141.857,137.196,138.116
8192,2048,140.808,142.17,140.819
8192,4096,141.423,137.614,138.165
8192,8192,144.082,140.216,139.049
8192,16384,147.961,141.522,142.646
8192,32768,157.537,148.297,151.68
8192,65536,183.94,160.435,157.858
8192,131072,217.928,184.447,179.698
8192,262144,297.516,233.276,215.961
8192,524288,457.474,330.476,292.113
8192,1048576,772.873,529.738,446.724
8192,2097152,1401.56,918.627,759.832
8192,4194304,2664.79,1698.41,1402.95
8192,8388608,5282.38,3275.71,2610.04
8192,16777216,10464.7,6416.5,5234.96
16384,64,137.068,136.146,136.385
16384,128,136.562,135.542,136.66
16384,256,137.728,136.578,136.918
16384,512,138.774,136.976,136.311
16384,1024,140.852,136.317,137.366
16384,2048,145.099,138.218,143.878
16384,4096,154.596,140.857,143.824
16384,8192,168.762,144.061,147.3
16384,16384,199.339,152.294,157.896
16384,32768,253.737,170.514,174.119
16384,65536,375.775,208.819,221.834
16384,131072,601.401,276.156,289.174
16384,262144,1115.63,401.949,453.128
16384,524288,1995.79,648.967,662.341
16384,1048576,3916.45,1327.06,1545.57
16384,2097152,7830.04,2391.93,2801.34
16384,4194304,14544.1,4849.43,5900.1
16384,8388608,32343.7,8944.92,9588.41
16384,16777216,60368,17566.9,17899.6
32768,64,137.295,135.831,135.811
32768,128,137.347,135.803,136.365
32768,256,141.467,138.481,138.822
32768,512,141.524,138.709,139.69
32768,1024,147.749,141.938,142.518
32768,2048,159.992,150.41,152.202
32768,4096,182.538,164.714,166.403
32768,8192,228.666,191.019,193.937
32768,16384,315.748,246.942,249.253
32768,32768,501.329,363.532,367.827
32768,65536,871.521,589.887,592.557
32768,131072,1600.63,1052.3,1039.86
32768,262144,2939.16,1900.06,1877.86
32768,524288,6014.91,3925.43,3900.27
32768,1048576,11990.1,7709.57,7656.43
32768,2097152,23177.7,14586.6,14521.6
32768,4194304,46095.2,28723.2,28895.5
32768,8388608,90919.3,55568.5,55824
32768,16777216,185369,113456,114520
65536,64,138.503,137.978,137.509
65536,128,139.603,138.29,138.103
65536,256,142.773,140.148,140.577
65536,512,146.669,143.416,144.267
65536,1024,159.05,152.805,153.215
65536,2048,181.814,167.736,170.076
65536,4096,227.957,198.81,203.598
65536,8192,320.603,262.259,268.657
65536,16384,504.565,388.557,397.697
65536,32768,887.603,648.594,679.196
65536,65536,1593.67,1130.68,1185.48
65536,131072,3099.6,2156.38,2262.78
65536,262144,6022.06,4155.18,4350.82
65536,524288,12133.2,8413.09,8807.17
65536,1048576,23304.8,15749.4,16482.6
65536,2097152,46853.2,32319.5,33321.9
65536,4194304,93979.2,63635.1,66650.2
65536,8388608,189471,129107,134840
65536,16777216,379252,258341,272466
