Degree,Iteration,OMPTime,VecTime,Auto Vec Time
2048,16384,255.537,105.921,82.8341
2048,32768,513.76,210.296,159.625
2048,65536,1031.04,426.688,319.446
2048,131072,2064.95,841.958,632.575
2048,262144,4116.49,1667.15,1282.72
2048,524288,8271.38,3435.44,2596.44
2048,1048576,16516.6,6923.95,5034.37
2048,2097152,33174.4,13535.5,10317.5
2048,4194304,66490.9,27230.6,20773.3
2048,8388608,133239,54915.2,42039.2
2048,16777216,266060,106348,81214.4
4096,64,2.28641,1.07891,0.933867
4096,128,4.33146,1.92084,1.47284
4096,256,8.33434,3.76643,2.72356
4096,512,17.1653,7.22475,5.58195
4096,1024,33.1373,13.7934,10.1618
4096,2048,65.1347,28.1594,19.9809
4096,4096,128.984,53.8396,39.9243
4096,8192,256.287,107.584,81.0359
4096,16384,514.744,216.33,157.702
4096,32768,1028.04,436.241,316.902
4096,65536,2052.77,866.301,656.187
4096,131072,4137.87,1727.7,1280.95
4096,262144,8270.42,3480.51,2562.59
4096,524288,16562.8,7102.81,5174.95
4096,1048576,33261.8,14031.4,10291
4096,2097152,66328.7,27903.7,20970.6
4096,4194304,132815,56222.4,41264.6
4096,8388608,265472,112207,84528.1
4096,16777216,532115,224635,167187
8192,64,4.55971,2.06204,1.59153
8192,128,8.8199,3.85219,2.91557
8192,256,17.8634,7.41863,5.51146
8192,512,34.3803,14.6144,10.7165
8192,1024,67.711,26.9148,20.1011
8192,2048,129.394,53.5799,40.6575
8192,4096,270.271,113.767,78.6015
8192,8192,513.299,216.961,157.618
8192,16384,1028.62,451.794,330.897
8192,32768,2075.76,868.045,635.068
8192,65536,4143.07,1742.81,1274.83
8192,131072,8250.37,3478.11,2558.5
8192,262144,16516.8,6987.96,5354.9
8192,524288,33184.2,13985.8,10279.9
8192,1048576,66397.8,28114.7,20403.1
8192,2097152,133536,56163.7,40421.3
8192,4194304,265875,111979,84287.2
8192,8388608,533069,225397,162527
8192,16777216,1.06421e+06,449428,328167
16384,64,8.48299,3.71224,3.85268
16384,128,16.5322,6.94556,5.10218
16384,256,33.7413,13.7205,10.3812
16384,512,64.818,26.5099,19.9489
16384,1024,129.547,54.7468,39.4837
16384,2048,260.084,109.649,78.3066
16384,4096,516.077,218.216,159.815
16384,8192,1029.72,436.072,314.306
16384,16384,2059,863.71,656.052
16384,32768,4139.2,1704.71,1282.99
16384,65536,8287.71,3507.59,2548.25
16384,131072,16553.5,7163.43,5085.07
16384,262144,33220.9,14137.4,10259.7
16384,524288,66459.7,28068.8,20481.1
16384,1048576,133218,57457.5,41248
16384,2097152,265981,113653,83636.5
16384,4194304,531451,222856,164308
16384,8388608,1.06743e+06,452438,326008
16384,16777216,2.13479e+06,905439,651451
32768,64,18.6082,8.47603,6.63193
32768,128,34.0318,16.4048,11.5195
32768,256,65.9156,28.8187,22.3948
32768,512,131.996,56.5478,43.6391
32768,1024,275.516,115.842,83.6318
32768,2048,527.485,220.534,173.439
32768,4096,1045.98,459.439,328.41
32768,8192,2127.79,957.821,707.938
32768,16384,4242.76,1798.33,1332.98
32768,32768,8439.43,3676.93,2880.32
32768,65536,16937.7,7077.93,5148.53
32768,131072,34221,14696.8,10359
32768,262144,68640.2,29677.7,22039
32768,524288,133646,57032.3,41483.7
32768,1048576,267934,113532,83224.4
32768,2097152,534542,225894,164912
32768,4194304,1.06976e+06,460172,334219
32768,8388608,2.15715e+06,911875,656357
32768,16777216,4.38031e+06,1.86466e+06,1.37695e+06
65536,64,40.0579,23.6121,18.6605
65536,128,74.447,43.8221,37.3275
65536,256,145.513,87.3924,69.0698
65536,512,287.029,161.328,129.961
65536,1024,577.519,371.228,291.328
65536,2048,1146.54,694.99,491.748
65536,4096,2286.2,1308.61,1209.42
65536,8192,4624,2553.55,2159.38
65536,16384,9510.99,5332.37,4371.41
65536,32768,18597.2,10915.3,9091.87
65536,65536,37385.7,22056.6,17048.8
65536,131072,74005.8,43762.1,36293.3
65536,262144,149513,87506.5,73072.2
65536,524288,296066,175941,149303
65536,1048576,590673,361961,293048
65536,2097152,1.21457e+06,696132,587591
65536,4194304,2.37327e+06,1.32874e+06,1.1271e+06
